emoji_in,label,backtranslated_tweet
ke titik,Netral,langsung ke intinya
hari 30 terkadang kita semua membutuhkan sedikit pengingat untuk menghargai hal -hal baik dalam hidup kita. saya melihat sekeliling dan memikirkan hidup saya dan merasa bersyukur. saya memperhatikan setiap detail. itulah kunci perjalanan waktu. anda hanya bisa bergerak jika anda benar -benar berada di saat ini.,Positif,hari ke-30 terkadang kita semua butuh sedikit pengingat untuk menghargai hal-hal baik dalam hidup kita. aku melihat sekeliling dan berpikir tentang hidupku dan merasa bersyukur. aku memperhatikan setiap detailnya. itulah kunci perjalanan waktu. kamu hanya bisa bergerak jika kamu benar-benar berada di momen tersebut.
simon benar. dan saudi juga merupakan negara berdaulat yang bebas menerapkan hukum islam di negaranya. apa yang telah anda perjuangkan sejak kemarin adalah hukum syariah islam yang merupakan dasar untuk hukum negara. lebih baik hanya berbicara tentang apa yang anda pahami sebagai motorsport journo.,Netral,Simon benar. Dan Saudi juga merupakan negara berdaulat yang bebas menerapkan hukum Islam di negaranya. Apa yang Anda perjuangkan sejak kemarin adalah hukum syariah Islam yang menjadi dasar hukum negara. Lebih baik bicarakan saja apa yang Anda pahami sebagai jurnalis olahraga bermotor.
"happyvbirthday :smiling_face_with_heart-eyes::purple_heart::purple_heart: saya berdoa untuk anda di masa depan bahwa anda akan menjadi pria dan orang yang lebih baik daripada sebelumnya. cepat atau lambat saya mendengar kabar baik dari anda, yaitu memiliki kekasih (mitra hidup) dan hidup dengan bahagia selalu :smiling_face_with_smiling_eyes::purple_heart::purple_heart: i:purple_heart:u taehyung",Positif,"happyvbirthday :smiling_face_with_heart-eyes::purple_heart::purple_heart: aku berdoa untukmu di masa depan agar kamu menjadi pria dan pribadi yang lebih baik dari sebelumnya. cepat atau lambat aku akan mendengar kabar baik darimu, yaitu memiliki kekasih (pasangan hidup) dan hidup bahagia selamanya :smiling_face_with_smiling_eyes::purple_heart::purple_heart: i:purple_heart:u taehyung"
"gue gendong si alias yg baru 2 tahun di swab pcr, gatega pisan! ngamuk mewek dll, bukan bermaksud menyalahan siapapun ya, tp tolong lah patuhi prokes, masih banyak lho org nu cuek gapake masker, santuy aja gitu momotoran.",Negatif,"Gue gendong alias yang umurnya baru 2 tahun buat di-swab PCR, gila banget! ngamuk-ngamuk dsb, bukan maksud gue menyalahkan siapa2, tapi mendingan patuhi protokol kesehatan aja, masih banyak yang cuek gak pake masker, santai aja gowes."
antara care sm kepo emang beda tipis :face_with_tears_of_joy:,Negatif,Ada garis tipis antara peduli dan kepo :face_with_tears_of_joy:
"jujurly, aku blm siap mengadapi tahun baru tanpa kamu",Negatif,Sejujurnya aku belum siap menghadapi tahun baru tanpamu
makin lebih suka interaksi sama orang orang tertentu aja,Netral,Saya semakin menyukai interaksi dengan orang-orang tertentu
saya ingin bergabung dengan sekte mana pun di mana semua orang percaya apa pun yang dikatakan armazing online,Netral,Saya ingin bergabung dengan sekte mana pun di mana setiap orang percaya apa pun yang dikatakan armazing online
"partytenget, seminyak, dan canggu. maket suda. alam adalah penyembuhan.",Positif,"partytenget, seminyak, dan canggu. model sudah siap. alam sedang menyembuhkan."
"pengikut filter pengen nge deh, yg aneh, yg akun palsu, bikin yg berlebihan, terutama yg ga berpaling. tp capek jg ternyata milihin satu2 ..",Negatif,"Filter followers mau tau, yang aneh-aneh, yang akun palsu, yang untung banyak, apalagi yang gak berubah. tapi ternyata aku bosan kalo milih cuma satu..."
kasihlah sesama manusia bahkan itu musuh mu sendiri -dr tirta “gua mimpi ketumu malaikat !!!” - dr tirta lewat,Positif,cintailah sesama manusia meskipun mereka adalah musuhmu sendiri -dr tirta &quot;Aku bermimpi bertemu bidadari!!!&quot; -dr tirta lewat
pagi2 dah baca komen netizen toxic hadu uda paling bener tuh emng ga kepo dahlah haha,Negatif,"Pagi ini aku baca komen netizen Toxic Hadu, bener banget sih, gak penasaran haha"
"jisoo dan suzy memang dior banget sik. dua orang orang ini yang tampilannya paripurnna. serasa dua bestie lagi ulang tahun, undang teman-teman terekat yang sadar dandananya ngga boleh lebih glam dari si empunya haji",Positif,"Jisoo dan Suzy benar-benar Dior. Kedua orang ini memiliki penampilan yang sempurna. Rasanya seperti dua sahabat yang sedang berulang tahun, mengundang teman dekat yang menyadari bahwa riasan mereka tidak bisa lebih glamor daripada pemilik haji"
girl crush aura mengintensifkan,Netral,aura cewek yang sedang jatuh cinta semakin kuat
"ceritakan tentang diri anda 1. rumi/biarawati 2. lajang dan tersedia :face_with_tears_of_joy: 3. menari sendiri (versi calum scott) 4. 1329 5. tinder 6. a u 7. pt mensari cinta sejati :face_with_tears_of_joy: 8. indonesia 9. 0 10. 0 11. berpikir berlebihan 12. 2012 13. mengajar 14. 170 jatuhkan emoji, saya akan mengirimkan pertanyaan kepada anda.",Netral,"ceritakan tentang dirimu 1. rumi/nun 2. single dan tersedia :face_with_tears_of_joy: 3. dancing alone (versi calum scott) 4. 1329 5. tinder 6. au 7. pt mensari cinta sejati :face_with_tears_of_joy: 8. indonesia 9. 0 10. 0 11. overthinking 12. 2012 13. teaching 14. 170 berikan emoji, aku akan kirimkan pertanyaannya."
"turun se down, downnya burit, sistem dukungan butuh :relieved_face: alig alig :loudly_crying_face:",Negatif,"turun ke bawah, turun ke buritan, sistem pendukung dibutuhkan :relieved_face: alig alig :loudly_crying_face:"
"ada fase dalam kehidupan di mana anda merasa macet. menonton semua orang pindah & amp; mencapai banyak hal. saat anda bergerak dalam lingkaran. tapi tust saya, jalannya sebenarnya spiral. anda sudah mendaki banyak langkah. anda hanya melihatnya di sudut yang salah. lanjutkan.",Positif,"Ada fase dalam hidup di mana kamu merasa mandek. Melihat semua orang bergerak &amp; mencapai sesuatu. Saat kamu bergerak dalam lingkaran. Namun, percayalah, jalan itu sebenarnya spiral. Kamu telah menaiki banyak anak tangga. Kamu hanya melihatnya dari sudut pandang yang salah. Teruslah maju."
sistem dukungan dalam hidup saya :red_heart:,Positif,sistem pendukung dalam hidupku :red_heart:
"memang dasar ku ndeso, sedangkan diaajak sg rodo2 cara kota yo kaku2 ngisinke gimana gitu, ya maaf tapi slahah bawaan.",Negatif,"Saya pada dasarnya dari desa, sedangkan dia diundang untuk berkeliling di kota, dia kaku melakukan hal-hal seperti itu, ya, saya minta maaf tapi itu salah."
diajakin ke puncak bulan depan..tppp masalah nyaaa bestie gw kan udh paindah storeee jdii ya gw gaikut lahhhh gw mls bgt berbaur lgi sma org baru :face_holding_back_tears::loudly_crying_face::loudly_crying_face::loudly_crying_face:,Negatif,diundang ke puncak bulan depan..tapi masalahnya sahabatku pindah toko jadi aku tidak jadi pergi. Aku benar-benar ingin bergaul dengan orang baru :face_holding_back_tears::loudly_crying_face::loudly_crying_face::loudly_crying_face:
semoga ini adalah pertama dan terakhir. terima kasih kepada mereka yang membantu dalam proses penyembuhan dan penyembuhan luka saya. intinya adalah bahwa dalam keadaan apa pun kita tidak panik. tetapi harus bergerak cepat dalam proses penanganan dan penyelamatan. * air mata di salah satu jari saya.,Positif,semoga ini yang pertama dan terakhir. terima kasih kepada pihak-pihak yang telah membantu dalam proses penyembuhan dan penyembuhan luka-luka saya. intinya kita tidak boleh panik dalam keadaan apapun. tetapi harus bergerak cepat dalam proses penanganan dan penyelamatan. *air mata di salah satu jari saya.
"""aku akan membuat bom nuklir"" ""kami memiliki masa depan yang cerah!"" suka benar -benar cerah, dan keras, dan mematikan.",Negatif,"&quot;Saya akan membuat bom nuklir&quot; &quot;Kita punya masa depan yang cerah!&quot; seperti sangat cerah, keras, dan mematikan."
"penyembuhan mandiri versi aku, motoran sendiri, ngomong sendiri, nyany-nnyanyi, berenti ngopi, jalan lagi, muter-muter kota, berenti terus makan. versi kalian?",Positif,"Versiku dalam penyembuhan diri, mengendarai sepedaku sendiri, berbicara pada diriku sendiri, bernyanyi, berhenti minum kopi, berjalan lagi, berkeliling kota, berhenti dan makan. Versimu?"
dia tidak salah sebenarnya,Netral,dia sebenarnya tidak salah
"""kita sendirian, terjebak dalam tubuh -tubuh ini dan pikiran kita sendiri, dan perusahaan apa pun yang kita miliki dalam hidup ini hanya cepat dan dangkal."" -jennifer niven",Negatif,"&quot;Kita sendirian, terjebak dalam tubuh dan pikiran kita sendiri, dan teman yang kita miliki dalam hidup ini hanya sementara dan dangkal.&quot; -Jennifer Niven"
parable karena yang berlebihan gak nyampe-nyampe wuy,Negatif,"Perumpamaan karena terlalu banyak tidak sampai pada intinya, wow"
selamat ulang tahun tartaruga si si warlok santuy sunmori x ngojek x logistik :partying_face::partying_face::partying_face::partying_face:,Positif,selamat ulang tahun tartaruga sang penyihir santuy sunmori x ngojek x logistics :partying_face::partying_face::partying_face::partying_face:
"bahkan jika tidak ada siapa pun, saya mendengarkan :loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face: sayang namuuuuuu:loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::purple_heart:",Positif,"walaupun tiada siapa pun, aku mendengarkan :loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face: sayang namuuuuuu:loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::purple_heart:"
agak fomo ae sih ...,Negatif,Saya agak takut pada apa pun...
"perasaan terburuk bukanlah ketika anda tidak tahu peristiwa buruk apa yang menuntun anda pada cerita anda yang akan datang, tetapi perasaan terburuk adalah ketika anda tahu pasti sesuatu yang benar -benar buruk akan datang, namun anda tidak bisa bersembunyi darinya atau bahkan setidaknya hindari itu.",Negatif,"Perasaan terburuk bukanlah saat Anda tidak tahu kejadian buruk apa yang akan mengarah pada cerita Anda selanjutnya, tetapi perasaan terburuk adalah saat Anda tahu pasti sesuatu yang sangat buruk akan datang, tetapi Anda tidak dapat bersembunyi darinya atau setidaknya menghindarinya."
"bahkan di depan umum ketika saya melihat ayah yang baik, saya hampir mulai membalut mata saya",Positif,bahkan di depan umum ketika aku melihat ayah yang baik aku hampir mulai menutup mataku
sakit nggak sih ..!? disaat kita nemuin penyembuhan untuk diri sendiri tetapi untuk jadi permasalanahan orang lain.,Negatif,Sakitkah? Ketika kita menemukan obat untuk diri kita sendiri tetapi malah menjadi masalah bagi orang lain.
saya ingin menghilang untuk sementara waktu.,Negatif,Saya ingin menghilang sejenak.
hakim internasional okto tentunya dari indonesia memeriksa kucing selama pertunjukan kucing di banda aceh pada 28 februari 2021.,Netral,juri internasional okto tentu saja dari indonesia sedang memeriksa seekor kucing selama pertunjukan kucing di banda aceh pada tanggal 28 februari 2021.
saya ingat malam itu. saat saya memiliki senyum yang lebih cerah. menonton rewind 2020 saat melakukan beberapa jurnal (atau kita bisa menyebutnya scrapbook dll) saat membaca obrolan kita. 2020 adalah tahun yang bahagia.,Positif,"Aku masih ingat malam itu, saat senyumku lebih cerah, menyaksikan tahun 2020 kembali berputar sambil menulis jurnal (atau bisa kita sebut scrapbook, dsb.) sambil membaca obrolan kita. 2020 adalah tahun yang membahagiakan."
"menakjubkan! mungkin kemudian ai juga dapat melakukan lebih banyak hal seperti prediksi awal penyakit, stres, atau bahkan gangguan mental?",Positif,"Luar biasa! Mungkin dengan begitu AI juga dapat melakukan lebih banyak hal seperti prediksi dini penyakit, stres, atau bahkan gangguan mental?"
bestie pagi :sparkles:,Netral,selamat pagi sahabat :sparkles:
ah gilak bangun jam segini: ((otomatis overhinking amp pagi: (((,Negatif,ah gila bangun jam segini :(( otomatis kepikiran amp pagi :(((
"terima kasih 2021, anda sangat luar biasa. bahkan sampai akhir hari ini. saya telah belajar dan tumbuh sebagai seorang pria! terima kasih tuhan",Positif,"Terima kasih 2021, kalian luar biasa. Bahkan sampai akhir hari ini. Aku telah belajar dan tumbuh sebagai seorang pria! Terima kasih Tuhan"
"dikelilingi oleh orang -orang hebat ,,, bahkan mereka hanya bertanya 'apakah kamu baik -baik saja?' hahahahhaa",Positif,"dikelilingi orang-orang hebat,,, bahkan mereka hanya bertanya &#39;kamu baik-baik saja?&#39; hahahahhaa"
secara fisik saya di kantor. secara mental saya duduk di tepi sungai kecil sambil menikmati makanan dan secangkir kopi. ada yang tau nama makanan dalam video ini? :winking_face::winking_face: @ central java,Netral,secara fisik saya ada di kantor. secara mental saya sedang duduk di tepi sungai kecil menikmati makanan dan secangkir kopi. ada yang tahu nama makanan di video ini? :winking_face::winking_face: @ jawa tengah
"orang kalo ""penyembuhan"" itu ke jogja, bali. lahh gw ke surabaya. terkadar penyembuhan itu bukan tentang tempat. tapi tentang introspeksi diri.",Positif,"Orang-orang mengira &quot;penyembuhan&quot; itu ke Jogja, Bali. Nah, saya ke Surabaya. Padahal, penyembuhan itu bukan tentang tempat. Tapi tentang introspeksi diri."
"ketika saya berjalan melalui lembah bayangan deathi, lihatlah hidup saya dan menyadari tidak banyak yang tersisa karena saya telah meledakkan dan tertawa begitu lama, bahwa bahkan ibu saya berpikir bahwa pikiran saya adalah gonerip coolio /t.co/k684sdns7e",Netral,"ketika aku berjalan di lembah bayang-bayang kematian aku melihat hidupku dan menyadari tidak banyak yang tersisa karena aku telah tertawa dan tertawa begitu lama, bahkan ibuku berpikir pikiranku telah hilang."
"anak perempuan terakhir dan harapan terakhir, klo yg ini gagal ga kebiang masa tua orng tua gw nanti gimana; (",Negatif,"putri terakhir dan harapan terakhir, jika yang ini gagal, apa yang akan terjadi pada orang tuaku di masa tua mereka; ("
penyembuhan tidak menemukan perasaan yang lebih baik.,Netral,penyembuhan tidak menemukan perasaan yang lebih baik.
kentut yg secara harfiah bunyinya besar pas misa arwah di kuburan (posisinya lagi dekerumunan) sampe diliatin sekitar wkwkwwk,Netral,kentut yang benar-benar terdengar sangat besar selama misa pemakaman di makam (di mana dia berada di tengah kerumunan) sehingga Anda dapat melihatnya di sekitar hahaha
"percaya di diri, dibilan sombong. kompeten, arogan dianggap. panya privasi, dinilai tidak panya jiwa sosial. terlalu ramah, dibilang kepo. mengkritik orang lain, nanti malah dianggap nyinyir. segala tindakan kita memang tidak akan pernah benar dalam penilaan orang lain.",Negatif,"Percaya diri, dianggap sombong. Kompeten, dianggap sombong. Punya privasi, dianggap tidak punya jiwa sosial. Terlalu ramah, disebut kepo. Mengkritik orang lain, kemudian dianggap sinis. Semua tindakan kita tidak akan pernah benar dalam penilaian orang lain."
sampe butuh menyembuhkan bgt mba? * pukpukpuk* :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:,Positif,"sampai kamu benar-benar butuh penyembuhan, sis? *pukpukpuk* :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:"
baru saja menemukan naksir saya,Positif,baru saja menemukan gebetanku
"rekap 2021: penyembuhan, dengan",Netral,"rekap 2021: penyembuhan, dengan"
demi healing-healing jadinya pening-pening,Negatif,"demi kesembuhan, aku merasa pusing"
pengen jadi orang yang gak gampang terlalu banyak berpikir. biar sehat aja nih mental ama kesehatan. semakin kesini semakin banyak yang ditakutin.,Negatif,"Saya ingin menjadi orang yang tidak mudah berpikir terlalu banyak. hanya untuk menjadi sehat secara mental dan sehat. Semakin Anda datang ke sini, semakin Anda takut."
"ya allah kadang overhinking malem malem membawa berkah, ga kelewatan live hobi dan jungkook misalnya :loudly_crying_face::thumbs_up::thumbs_up::thumbs_up::thumbs_up:",Positif,"ya ampun kadang kepikiran berlebihan di malam hari malah mendatangkan berkah, contohnya gak ketinggalan live streaming Hobi dan Jungkook :loudly_crying_face::thumbs_up::thumbs_up::thumbs_up::thumbs_up:"
bagaimana anda menghabiskan malam tahun baru anda? melaju dengan di sekitar scbd untuk mandi di lampu metropolitan yang glamor. :night_with_stars::motorcycle::night_with_stars::fireworks:,Positif,bagaimana Anda menghabiskan malam tahun baru? berkeliling SCBD untuk menikmati gemerlap lampu kota metropolitan. :night_with_stars::motorcycle::night_with_stars::fireworks:
"akhir pekan yang produktif dengan bestie, terima kasih starlight untuk gratis",Positif,"akhir pekan yang produktif bersama sahabat, terima kasih starlight untuk hadiah gratisnya"
pengendara yg ngerokok yang terhormat baik mobil atau sepeda motor. bisakah anda hanya beberapa menit atau bahkan jam untuk tidak menyalakan rokok anda? abu berbahaya bagi orang lain!,Negatif,"Kepada para pengemudi yang merokok, baik mobil maupun sepeda motor. Bisakah Anda meluangkan waktu beberapa menit atau bahkan beberapa jam untuk tidak menyalakan rokok? Abu rokok berbahaya bagi orang lain!"
"tetaplah haha hihi walaupun beban hidup berat sekali. , :face_with_tears_of_joy::squinting_face_with_tongue::face_with_tongue: @ meow cat kafe",Positif,"tetap semangat haha hihi walaupun beban hidup berat banget. , :face_with_tears_of_joy::squinting_face_with_tongue::face_with_tongue: @meow cat kafe"
bahkan saat kita tidak bisa melihatnya ... bahkan saat kita tidak bisa merasakannya ... bahkan saat kita tidak memahaminya ... tuhan bersama kita!,Positif,Bahkan saat kita tak dapat melihatnya... Bahkan saat kita tak dapat merasakannya... Bahkan saat kita tak memahaminya... Tuhan bersama kita!
"reviewnya resident evil jelek semua, tapi sangan kepo :backhand_index_pointing_right::backhand_index_pointing_left:",Negatif,"Ulasan Resident Evil semuanya buruk, tapi saya benar-benar penasaran :backhand_index_pointing_right::backhand_index_pointing_left:"
"walah, dadi bahan terlalu banyak berpikir. jebul sing ngongkon belio sopo ya?",Negatif,"Wah, aku terlalu banyak berpikir. jebul sing ngongkon beli sopo ya?"
"sahabatan sejak sute masih di bali united, dan akhirnya nribun bareng lagi ... :soccer_ball::trophy::folded_hands::fire::soccer_ball:",Positif,"sahabat karib sejak Sute masih di Bali United, dan akhirnya nribun bareng lagi... :soccer_ball::trophy::folded_hands::fire::soccer_ball:"
jika anda tinggal di rumah tangga asia anda harus membuat nasi juga bahkan anda masih 4,Netral,jika kamu tinggal di rumah tangga asia kamu juga harus membuat nasi meskipun kamu masih 4 tahun
kepo bgt anjm,Negatif,Anjm sangat kepo
life hack puasa tahun ini manan kurma paya sahur ampuh bgt biar seharian ga merasa haus asli ini beneran kga dehidrasi seharian bahkan matahari diata ubun2.,Positif,"Kiat puasa tahun ini adalah memakan kurma saat sahur, sangat efektif agar Anda tidak merasa haus sepanjang hari, juga tidak membuat Anda dehidrasi sepanjang hari, bahkan saat terik matahari menyinari kepala Anda."
"mitra mau cari buat besok tahun baruan, mumpung rame. mau staycation atau dikosan w gpp. beri tahu saya kalo mau, jgn omdo / tbtb ga jadi. semua manfaat bisa diomongin. rep/dm aja",Netral,"Pasangan mau cari liburan tahun baru besok, mumpung lagi sibuk. mau staycation atau kos-kosan, nggak masalah. kabarin aja kalau mau, jangan omdo/tbtb nggak bakal kesampaian. semua benefit bisa diomongin. tinggal reply/dm aja"
"ratau salah malah iso nduwe roso getun loh ... :face_with_hand_over_mouth: salah rapopo, santuy wae.",Positif,"Walau salah, sebetulnya iso nduwe roso getun lho... :face_with_hand_over_mouth: salah rapopo, santuy wae."
mewujudkan tp gw mau kerja jadi apa jir,Negatif,"mewujudkannya, tetapi pekerjaan apa yang ingin saya lakukan, Tuan?"
kenapa sih jam2 segini suka overfinking “jahitan bekas operasi sc robek”.,Negatif,kenapa kamu suka banget ngomong berlebihan di jam segini &quot;jahitan operasi caesarnya robek&quot;.
"pen ke jawa tapi gamau pake pesawat, terlalu cepat nyampenya. maunya pake kapal, biar bisa healing, menikmati indahnya pandangan laut, sambil nenangin diri, madankan. dibanding aku healingnya ngedaki, tapi gada nyali ngedaki sendiri muehehe",Negatif,"Gue mau ke Jawa, tapi gue nggak mau naik pesawat, terlalu cepat sampainya. Gue mau naik kapal, biar gue bisa sembuh, menikmati pemandangan laut yang indah, sambil menenangkan diri, bersenang-senang. Dibanding gue, penyembuhannya lebih baik, tapi gue nggak punya nyali untuk melakukannya sendiri, muehehe"
"mommy mengirimkan banyak cinta untukmu, bia. mengirimi anda kekuatan dan getaran penyembuhan. :camera_with_flash: :round_pushpin: bukit teletubis sayang heulang @ sayang heulang beach",Positif,"mama mengirimkan banyak cinta untukmu, bia. mengirimkanmu kekuatan dan getaran penyembuhan. :camera_with_flash: :round_pushpin: bukit teletubbies sayang heulang @ pantai sayang heulang"
_ terlalu percaya diri dibilang sombong! _ terlalu ramah sama seseorang dibilang kepo! _ menghindari perdebatan delangan cara dibilis baperan! heeemm lucu sekali lebih detailnya ada dibuku ini ya:smiling_face_with_smiling_eyes::backhand_index_pointing_down_light_skin_tone:,Negatif,_ terlalu percaya diri itu namanya sombong! _ terlalu ramah sama orang itu namanya kepo! _ menghindari pertengkaran itu namanya sensitif! Hehe lucu banget lebih lengkapnya ada di buku ini ya:smiling_face_with_smiling_eyes::backhand_index_pointing_down_light_skin_tone:
"kan pada nanya, sakit apa ??? mau jawab tp mending di bls ""cpt sembuh"" ini mah kepo doang alhasil cuman nambah stres, pembaruan lagian mulu, lu ga tau rasananya sendirian bahan sakit di rs sih",Negatif,"Aku tanya, kamu kenapa??? Aku mau jawab tapi lebih baik bilang &quot;selamat ya&quot; Aku cuma bego, jadi tambah stres aja, update-nya juga lambat, kamu nggak tahu gimana rasanya sendirian dan sakit di rumah sakit."
penyembuhan.,Netral,penyembuhan.
tumpah tai wqwq,Negatif,tumpahkan omong kosong wqwq
saya tidak akan berhenti berbagi meskipun pada malam tahun baru. tumbuh di setiap detik. @ malang,Positif,Saya tidak akan berhenti berbagi bahkan di malam tahun baru. Berkembang setiap detiknya. @ malang
guy gardner benar -benar adalah karakter gl paling tidak favorit saya,Netral,guy gardner adalah karakter gl yang paling tidak saya sukai
"""kalo ngomong sama dia harnus pelan-pelan soalnya dia orangnya sensitif."" persetan. manusia dan menghadapi kotoran anda dan kenyataan bahwa dunia ini tidak berputar di sekitar anda.",Negatif,&quot;kalau ngobrol sama dia kamu harus pelan-pelan karena dia orang yang sensitif.&quot; pergilah. jadilah manusia dan hadapi masalahmu dan kenyataan bahwa dunia ini tidak berputar di sekitarmu.
"lalu maem telattttt. gegara empoh bingung mau makan apa .. byk yg dipikir dan pny tanggungan kerjaan. kudu nyandak ae, tp cuapek poll 4 hr ini bestie. mana pak berto ngambek sejak sabtu ~ :face_with_rolling_eyes: nambah² i ae",Negatif,"terus aku telat. soalnya bingung mau makan apa... banyak yang mesti aku pikirin dan ada tanggung jawab kerja. mesti nunggu, tapi aku capek ikutan polling 4 hari, bestie. mana nih Pak Berto yang merajuk sejak Sabtu ~ :face_with_rolling_eyes: add² i ae"
saya memanifestasikan kehidupan cinta seperti chandler dan monica :))),Positif,Saya mewujudkan kehidupan cinta seperti chandler dan monica :)))
"memanifestasikan film nonton marvel sama yuta, jaehyun, mark, dan johnny.",Positif,"mewujudkan menonton film marvel bersama yuta, jaehyun, mark, dan johnny."
"kabar bantul hai lur, baru aja dilaunching nihh wisata kuliner laguna view depok, yuk tonyon video selengkapnya d kanal youtube bantul tv buran ajak bestie kalian barat ngabuburit disini nih, mumpung belum lebaran",Netral,"Berita Bantul, halo gaes, wisata kuliner Laguna View Depok baru saja dilaunching, yuk tonton video lengkapnya di channel YouTube Bantul TV, buruan ajak sahabat-sahabatmu untuk menghabiskan waktu di sini mumpung belum lebaran"
tantrum humongous batin yang selalu muncul ketika saya mengisi pertanyaan terkait matematika dari tes kompetensi dasar sebagai persyaratan formal untuk memasuki aplikasi pekerjaan & amp; saya ingin mendapatkan sesuatu dari lembaga (negara bagian) tertentu. matematika adalah mimpi buruk bagi saya ~,Negatif,amarah yang amat sangat yang selalu muncul ketika saya mengisi soal-soal matematika dari tes kompetensi dasar sebagai salah satu syarat formal untuk melamar pekerjaan &amp; saya ingin mendapatkan sesuatu dari lembaga (negara) tertentu. matematika adalah mimpi buruk bagi saya ~
"orange kalo tau namaku adalah dari orang tua saya, mereka akan menebak ""ooh papamu namanya adit yaa!"" sebaliknya, ibuku sebenarnya rita. :relieved_face:",Netral,"oranye kalau mereka tahu namaku berasal dari orang tuaku, mereka akan menebak &quot;ooh nama ayahmu Adit!&quot; di sisi lain, ibuku sebenarnya Rita. :relieved_face:"
"shindu iki lek ndek bahkan gede, mesti onfire :fire:",Positif,"shindu iki lek ndek biar gede pun, mesti on fire :fire:"
koneksi positif ini dalam semua tokoh kreatif di sekitar kota ini sangat besar.,Positif,Hubungan positif dalam semua tokoh kreatif di sekitar kota ini sangatlah besar.
begitu kewalahan,Negatif,begitu kewalahan
terasa seperti di venesia. penyembuhan dulu biar kayak orang2 :rolling_on_the_floor_laughing:,Positif,terasa seperti Venesia. penyembuhan pertama agar bisa seperti manusia :rolling_on_the_floor_laughing:
"siap siap pulu kerumah, idul fitri dan siap siap menyongsong kepo dan julid tetangga. kuaaatt harus kuat",Negatif,"bersiap pulang kampung, lebaran, dan bersiap menyambut kejahilan dan gosip tetangga. kamu harus kuat"
kelelahan mental dan kelelahan secara fisik.,Negatif,kelelahan mental dan kelelahan fisik.
tidak heran ppl sangat asin hari ini,Negatif,tidak heran orang-orang begitu asin akhir-akhir ini
relatable af,Netral,bisa diterima af
entah bagaimana bioskop deket rumah tiap film marvel yang high mengantisipasi selalu aman walau mesen mepet hari penayangan,Positif,entah kenapa bioskop dekat rumah untuk setiap film marvel yang sangat dinantikan selalu aman walaupun dipesan mendekati tanggal tayang
lebih baik. bahkan di masa depan saya akan tetap menyukai black forest cake dan tiramisu.,Positif,lebih baik. bahkan di masa depan saya masih akan menyukai kue black forest dan tiramisu.
"kepalaku terasa berputar, meskipun aku hanya bercerita.",Negatif,"Kepalaku serasa berputar, padahal aku hanya bercerita."
"jujurly, iya. b aja, yang berpagar bisa nikmatin liburnya sih. beda halnya pas hai libur lo digangguin kerjaan :)",Positif,"Jujur saja, ya. Tentu saja, mereka yang berpagar dapat menikmati liburan mereka. Berbeda jika Anda sedang berlibur dan Anda terganggu oleh pekerjaan :)"
nih barat healing,Netral,ini adalah penyembuhan barat
selamat tahun baru :sparkles::sparkles::sparkles::sparkles: mari menjadi lebih baik :sparkles::sparkles::sparkles::sparkles::sparkles::sparkles::sparkles::sparkles:,Positif,selamat tahun baru :sparkles::sparkles::sparkles::sparkles: mari kita menjadi lebih baik :sparkles::sparkles::sparkles::sparkles::sparkles::sparkles::sparkles:
pusing sampe yang terlalu banyak berpikir,Negatif,pusing sampai mikir banyak
"biasananya denial gini, yg menebus homofobik dan toksik perlu diliat lebih tajem lagi.",Negatif,"Biasanya penyangkalan seperti ini, yang menebus homofobia dan toksisitas, perlu dilihat lebih tajam."
"game good guys! melakukan 2 permainan tur pramusim sebelum perisai komunitas. dibandingkan dengan 3 pertandingan kurang dari liverpool, yang telah melakukan tur pra-musim di asia. itu adalah pertandingan yang bagus tetapi memalukan persiapan dengan beberapa pemain baru sangat kurang siap.",Positif,"Pertandingan yang bagus kawan! Telah memainkan 2 pertandingan tur pramusim sebelum Community Shield. Dibandingkan dengan Liverpool yang hanya memainkan 3 pertandingan lebih sedikit, yang sedang melakukan tur pramusim di Asia. Pertandingan yang bagus, tetapi sangat disayangkan persiapannya kurang matang karena beberapa pemain baru kurang persiapan."
komisi tertutup untuk sementara waktu. saya perlu lebih banyak latihan untuk membuat karya seni saya lebih baik. terima kasih banyak atas dukungan dan komisi anda. sangat berharga bagi saya. :beaming_face_with_smiling_eyes::beaming_face_with_smiling_eyes::beaming_face_with_smiling_eyes:,Positif,komisi ditutup sementara. saya butuh lebih banyak latihan untuk menyempurnakan karya seni saya. terima kasih banyak atas dukungan dan komisi Anda. itu sangat berarti bagi saya. :beaming_face_with_smiling_eyes::beaming_face_with_smiling_eyes::beaming_face_with_smiling_eyes:
"bagaimana agensi tetap diam meskipun banyak penggemar to1 meminta penjelasan, dengan cepat memberikan penjelasan kepada semua penggemar !!!",Negatif,"bagaimana agensi tetap diam saja padahal banyak fans to1 minta penjelasan, cepat berikan penjelasan ke semua fans!!!"
santuy,Netral,santai
sudah lama sejak anda berwarna ungu:purple_heart: 원랑 해 #원우,Positif,sudah lama sejak kamu berwarna ungu :purple_heart: 원랑 해 #원우
