cleaned_tweet,label,backtranslated_tweet
healing:seedling::baby_angel:,Positif,Healing: seedling:: baby_angel:
"kadang capek. apa lagi mood swing muncul. setiap mau ketemu orang sesak aja. ingin istirahat. tetapi, kita harus keluar untuk bertatap muka. sesak enggak sih.",Negatif,"Sometimes I'm tired, but I'm still in a mood, and everyone wants to meet me, but I need to get out of here."
your typical relatable ****,Netral,Yang biasa Anda kenal ****
healing sih,Netral,I am not sure.
bye twitter. see you again. i need to rest for while :),Netral,Bye twitter. see you again. I need to rest a while.
halo kamu yg kmrn minta aku rajin2 post konten si uwew… nih aku post nih mumpung dia lg nakal dan clingy… udh siap2 mau lompat itu dia eh kefoto dan hasilnya bagus… :red_heart:,Positif,"Hello you guys, I'm asking you to post content if you like... I'm posting this because I'm being naughty and clingy..."
flexing.....,Netral,I'm not sure.
napa mood swing bgt hari ini :loudly_crying_face:,Negatif,Suasana has changed very much today:
emng gini si ya klo ig di private. orang2 pada kepo,Negatif,I'm not going to tell you what to do.
2021 ku codjajanhealingpiknikgolek duit,Netral,2021 Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku Ku
lagi pesen makanan eh ujan gede banget. malah overthinking mas ojol. kesian.,Negatif,I'm not sure what to do.
tadi mau teriak sekenceng2nya di rumah but somehow gajadi nanka tuhan aneh di saat ada orang yg bikin menyerah sama hidup ada mereka yang bisa diajak menertawakan hidup,Positif,I wanted to talk to you for a second at home but somehow I got a job with my grandmother.
me literally:,Netral,"I mean, I mean,"
jogja. gausah kmna2 staycation di hotel aja udah lumayan buat self healing,Positif,I've done enough to clean myself up.
danke bestie :rolling_on_the_floor_laughing:,Netral,Danki bestie: berputar-putar di lantai tertawa:
overthinking bikin laper yak,Negatif,thinking excessive bikin laper yak
jam jam nya overthinking :'))),Negatif,Jam jam nya thinking excessive:')))
coba spill ****,Netral,I'm going to try to make a man.
"pada akhirnya banyak doa yang tak dikabulkan krn salah tempat, krn saat ini banyak doa yg sampaikan lewat medsos dan bukan diucapkan melainkan dituliskan ... selamat pagi salam santuy.:face_with_hand_over_mouth:",Positif,"In the end, many prayers are not repeated because of the place that is wrong, because at this time many prayers are delivered through the meds and not spoken but written ..."
salut bgt sama bestie gue :loudly_crying_face: terharu gue pagi2,Positif,"Hello, this is my best friend."
re-visiting chromatica while strolling at the mall alone,Netral,Visiting back to Chromatica while walking around the mall alone
si bestie side profilenya cakep bgt :loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face: sekian purnama akhirnya update foto,Positif,si bestie side profileenya cakep bgt: loudly_crying_face:: loudly_crying_face:: loudly_crying_face:: loudly_crying_face: sekian purnama finally update photo
healing di,Positif,penembuhan
bener bestie,Netral,- I'm not sure.
so relatable :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:,Netral,That's how I know it's going to happen.
wah gue punya crush baru:smiling_face_with_heart-eyes:,Positif,I have a new one.
"clear night sky before 2022. sounds of fireworks can be heard all around. still scattered, prelude before midnight, which probably gonna sound like a war zone. be happy for 2022 to all. :folded_hands_medium_skin_tone::palms_up_together_medium_skin_tone::palms_up_together_medium_skin_tone::folded_hands_medium_skin_tone: :party_popper::party_popper::party_popper::party_popper::party_popper::party_popper::party_popper::party_popper::party_popper::party_popper::party_popper::party_popper::party_popper::party_popper::party_popper::party_popper::party_popper::party_popper::party_popper::party_popper::party_popper::party_popper: :vulcan_salute_medium_skin_tone::sign_of_the_horns_medium_skin_tone::victory_hand_medium_skin_tone::thumbs_up_medium_skin_tone:",Positif,"Suara kembang api can be heard around. still tersebar, prelude before tengah malam, yang mungkin akan terdengar seperti zona perang. happy untuk 2022 untuk semua. :folded_hands_medium_skin_tone::palms_up_together_medium_skin_tone::palms_up_together_medium_skin_tone::folded_hands_medium_skin_tone::party_popper::party_popper::party_popper::party_popper::party_popperparty::party_popperparty::party_popperparty::party_popperparty::party_popperparty::party_popperparty::party_popperparty::party_popperparty::party_popperparty::party_popperparty::party_popperparty::party_popperparty::party_popperparty::party_popper"
"sahabat deket +c19, spm ditolak, proyek belum selesai, olympic, peng ujian, it's not even 11 am, what a day",Negatif,"The first is the first, the second, the second, the second, the third, the third, the third, the third, the third, the third, the third, the third, the third, the third, the third, the third, the third, the third, the third, the third, the fourth, the fourth, the fourth, the fourth, the fourth, the fourth, the fourth, the fourth, the fourth, the fourth, the fourth, the fourth, the fourth, the fourth, the fourth, the fourth, the fourth, the fourth, the fourth, the fourth, and fourth."
i'm that person everyone replaces after a while.,Negatif,I'm all orang yang after a few hours.
overthinking yang aku damba.,Negatif,I think too much.
"1. 5/222. 32/32 3. g4. g5. suka doang ga lebih6. g7. semua matpel yg ada angkanya8. g, semua pernah kena remedial9. ga sampai crush ya, monmaap10. kiky series 11. zebra12. g13. ga ada14. pernah, bagian baca2 kec. doa15. di ea ea doang, kaga pernah ada yg serius.",Negatif,"1. 5/222. 32/32 3. g4. g5. they prayed for more. g7. all problems that are concerned. g8. g, all ever got remedial. ga till crushed ya, monmaap10. kiky series 11. zebra12. g13. ga ada14. ever, part read2 kec. doa15. di ea ea doa, kaga ever had yang serious."
2d1n bandung bener2 healing time bangetttt lupain sejenak masalah kantor... uang bisa di cari kesehatan mental dan pikiran nomor 1 kata si dia.,Positif,2d1n bandung true 2d2 time penembuhan very much not forget the problem of office... money can be of care mental health and mind number one said if dia.
"apa itu anxiety disorder? , tengok di selengkapnya di...",Netral,What is this emergency disorder?
kalau ga mau overthinking ya jangan thinking lah...,Negatif,If you don't want to think too much don't think too much...
spill…..,Netral,"I mean, I..."
can anyone point me to women leading the way in the nft space?,Netral,Should someone show me the woman who leads in space?
"mau nanya sama org yg selingkuh, kalo galau karena pacar (or whatever u name it) satu lagi, emg pacar yg aslinya gabingung lo galau kenapa?:thinking_face::face_with_symbols_on_mouth:",Netral,"I want to ask my friends who sell you, if you want to sell me, because of my girlfriend (atau apa pun yang dan sebut itu) one more time, emg boyfriend yang aslinya gabingung lo galau kenapa?:thinking_face::face_with_symbols_on_mouth:"
kuis aneh tim a pencet ga bsa jawab tim b mau jawab ga bisa krn tim a dluan mencet it's like 5mins ago thy don't even give another response :thumbs_down_light_skin_tone: c'mon :exclamation_question_mark: siapa mau jadi juara,Netral,It's strange how a penny ga bsa answer a b mau answer can't krn a time a dluan print it like 5 minutes ago and you even didn't give another answer thumbs_down_light_skin_tone:
"hi everyone, i would like to share my work which may be different and out of the box from the sneak-peek that is at irukanji. and honestly, i really admire a with his so let's dance together for this amazing community. success always for",Positif,"Hello everyone, I want to share my job which may be different and get out of the box from sneak peek yang ada in Irukanji."
"i hope 2022 is full of happiness, love, success, and healing.",Positif,"May 2022 be full of happiness, love, success, and happiness."
honestly im fearless,Positif,Jujur Aku tak takut
"kalau masih insecure,berarti masih pesimis paling~paling endingnya ya overthinking",Negatif,"If I'm still not sure, Berarti is still pessimistic."
sumpah gak ngerti cara maen slot. pas pertama kali liat orang maen gituan kirain lagi main game semacam candy crush,Netral,I swear I don't know how to play the main slot.
"sometimes ""ide itu datangnya dari sini"" damai tenang @",Positif,"Sometimes ""the idea is coming from here"""
sign up for the waitlist for the coinburp defi | nft wallet! we both get 10 $burp tokens when you've signed up.,Netral,We both get a $10 burp token when you sign up.
lemah hayati bestie dream udah mau comeback,Negatif,lemah hayati bestie dream udah mau kembali
you will always be my favorite support system; family:rose::sparkles:,Positif,You'll always be my favorite support system.
promo staycation buat : komunitas belanja ke minimarket deket rumah naik motor males jalan kaki,Netral,Promotion staycation buat: community shopping to minimmarket deket rumah naik motor laki jalan kaki
"i still watch this series just because i love 's act. i love her role. and the bond between her and as . the story? after elsa got jailed, couldnt say anything. continuity of wardrobe, actors look. crush in editing. now, flaw in scenes. what a mess?",Positif,I'm still watching this series because I like her role and the relationship between her and as.
"mau staycation buat tahun baruan, kemaren udah hura2 di bali be like ya allah sayang duiiitnya :face_exhaling:",Negatif,"I want to stay for this year, I've been to Bali so I'll be like you."
yang membuat aku overthinking every night every day every minute yang aku suka nggak suka aku bahkan yg aku nggak suka juga udah nikah duluan meninggalkanku :face_with_tears_of_joy::face_with_tears_of_joy:,Negatif,I made you think too much every night every day every minute I didn't like you even that I didn't like you
this best album of all time somehow didn't make it to the mainstream,Positif,The best album of my life I don't know how I didn't get to the mainstream
aku sampai ngestalk namanya di sipp pn biar tau si crush pernah ada masalah hukum apa enggak wkwkw,Netral,I'm not going to talk about it until I know you're crushed.
"ipk 1.77 memancing orang2 pada flexing ipk + pengalaman kerja, antara termotivasi sama jadi insecure....emang tai si ipk 1.77 ni...",Negatif,"I.P.K. 1.77 Mancing orang2 on mear I.P.K. + experience working, between thermotivated sama menjadi tidak aman...emang tai si IPK 1.77 ini..."
bagaimanakah kabar diriku ?? baik baik saja sedikit ku takjub namun nyatanya sudah kuduga .. kau yang kesana kemari kau anggap aku tak cukup .. semua kesempatan dan langkahku coba kau tutup ..,Netral,How am I supposed to feel? I'm not sure. I'm not sure.
"just watched cl's let it live stage 10x while eating my dinner. and every single time, i keep thinking the song sounds like its really meant to be sung together by 4 people. and as a blackjack through and through, i can mentally place dara, bom and minzy's voices would be :loudly_crying_face:",Netral,"I just watched Cl's let her live stage 10x while eating dinner with me. And every time, I keep thinking the song sounds like it's really meant to be sung with four people."
betapa sulit nya menghadapi mood swing ini :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:,Negatif,How hard is it for me to face this mood swing rolling on the floor laughing
smell fishy around here~,Negatif,Bau ikan di sekitar sini ~
beberapa hari belakangan ini dia lagi clingy bgt:'))),Netral,A few days ago he was still in the hospital.
belom cape nih berperan jadi korban yang paling tersakiti? jujurly gue udah empet bgt sis liatnya:slightly_smiling_face:,Negatif,I'm not sure if I'm going to be able to make it to the next round.
harus pamer kalo ikutan seminar…. flexing otot :cross_mark: flexing duit :check_mark_button: flexing otak :check_mark_button:,Negatif,I have to think about this seminar...
my avatar literally describing my mood errday:unamused_face:,Netral,I'm not sure what I'm saying.
bnr bnr park jimin pgn tak hihhh bighit: kena kauuuu bestie:money_with_wings::money_with_wings::money_with_wings:,Netral,Bnr Bnr Park Jimin Pgn Tak Hihhh Bigit: kena kauuuu bestie: uang_dengan_sayap:: uang_dengan_sayap:: uang_dengan_sayap:
overthinking tengah malam sambil lihatin bulan,Negatif,I think I'm going to be overweight
ngeliat temen temen yang bangga adeknya masuk ptn gitu lucu bgt deh. kakak gue sih gapernah ya gemoy gemoy gitu. ayah gue too humble to brag about anything ever (kl ada org yg lg ngebrag ayah gue diem aja malah ninggi2in kadang w gemes sndiri) and my mom have to much anxiety lol,Negatif,"Looking at my friends who are proud of me, I'm not going to be happy with my life."
"kalian kalau self healing biasanya ke tempat sepi atau ramai? foto timelapse ini gw buat di bung ta lua park, nakhon ratchasima, thailand dan victory monument, bangkok, thailand.",Netral,"Photo by the author of the book, The Book of the Dead."
fun fact tolong jujurly agak surprised ya lee ziijia penumpang kapal yongseo :face_with_tears_of_joy: *lee ziijia ini pemain tunggal putra malay,Netral,Facts are funny please be honest a bit surprised ya lee ziijia penumpang kapal yongseo: wajah_dengan_teri_kebahagiaan: *lee ziijia ini pemain tunggal putra malay
siapa yang masih bingung cara pakai seamless? sini-sini kumpul semua. mimin spill langkah-langkahnya di sini. bagikan juga ke teman kamu biar internetan makin nyaman tentunya anti tethering-tethering club!,Netral,Who is still confused how to wear seamless? sini-sini gather everyone. min min buang langkah-langkahnya di sini. bagikan juga ke teman kamu biar internet makin nyaman tentunya anti-tethering-tethering club!
still manifesting,Netral,The Bermanifestasi
healing,Netral,penembuhan
kalo punya bestie kek bekijin 10000% confirm baper anjer,Positif,"If I have a bestie cake, I'll give you a 10,000% confirmation."
"its alright to feel insecure, overthinking sometime and its also alright to not be the best all the time. just take life less seriously and just chill for a bit the world wont end if you mess up or cant do something as good as people want/expect you to be.",Positif,"Nothing to feel unsafe, thinking too much sometimes and also nothing to not be the best all the time. Just take life less seriously and just calm for a little world will not end if you don't want to or can't do something good like people want to / expect you to be."
hey :waving_hand: while i love the digest emails i'm noticing a lot of anti-vaccine answers popping up as recommended reads. while i understand these emails are automatically generated shouldn't covid-19 answers be under tighter scrutiny?,Netral,Hey: Waving_hand: While I like email digest I see many anti-vaccination answers appear like recommended. While I understand this email is generated automatically should the answers COVID-19 not under pengawasan yang lebih ketat?
ada aja materi overthinking tuh,Negatif,I'm not thinking too much about it.
fomo fomo fomo,Negatif,Fomo fomo fomo
ko ced inih looooh:neutral_face: denial aja ih *cubit*,Negatif,I'm not a fan of the show.
ini jujurly pertanyaan dalam benakku,Netral,I honestly ask you a question about my life.
"ada owner kitten dtg ke petshop mau balikin df yg dia beli kmrn karena ada tulisan up to 6 months. menurut si owner itu df utk kitten usia di atas 6 bulan. while kitten nya umur 2 bulan. dokter putra ama gw geleng2 kepala, apa kami yg salah, kan ada tulisan up to 6 months. :thinking_face:",Negatif,If the owner of the cat comes to the pet shop to return to the df yang he buys kmrn because he has to write up to 6 months. According to the owner it is df for cats over 6 months. whereas the cat is only 2 months old.
keep complaining about my weight while my mouth keep chewing bunch of sweet treats. :otter::otter::otter::otter::otter::otter::otter::otter::otter::otter:,Negatif,I keep complaining about my weight while my mouth keeps complaining about my body.
pembukaan taon 2021 adalah rebahan santuy,Positif,pembukaan tahun 2021 adalah rebahan santoy
kumat!! jam tidur mulai gak jelas overthinking menjadi-jadi khawatir teross,Negatif,I'm not going to sleep. I'm not going to worry.
trying to please everyone while i cant barely please myself,Negatif,Try to please everybody while I'm almost not enjoying myself
all too well all day long wlpun tdk patah hati tp enak buat menyalurkan emosi krn burnout,Positif,Too good all day long wpun tdk break hat tp enak making menyalurkan emotions krn burnout
cape bgt bestie dgn sukadana :smiling_face_with_tear: tbtb ada kepiting kecil lah di kamar,Negatif,I'm not sure what I'm doing.
kenapa sihhhh mas crush tuh datengnya suka tiba tiba suka banget dateng pas gua lagi buluk anj,Negatif,Why did you get so excited about it?
"a friend will support what their friend do , right ? hmm in positive way “ they might “ , but sometimes we never know who is your friends really is, they can not read your mind while you thoughts it was positive , but they don't think the same way.",Netral,"They will support what their friends are doing, right? Hmm in a positive way they may, but sometimes we never know who your friends really are, they can't read your mind while you think it's positive, but they don't think in the same way."
kok bisa bisa nya ya manager gue sendiri ngomongnya “kerjain aja besok” ????? meanwhile gue yg overthinking karna kerjaan gue yg harusnya kelar hari ini malah disuruh kerjain besok??????,Negatif,How can you tell me how to work tomorrow?
"i already know that i will be a successful person, and i never even doubted that",Positif,"I know I'm going to be a successful orang yang, and I never doubted that"
"mamah mamah di seluruh dunia: .... mamahku literally isuk-isuk: adek kalo proposalmu sudah ada, sini tunjukno mamah tak liate. isok mamah lek mek ngebimbing mahasiswa s1 andai mamah ngerti proposalku mangkrak 2 bulan :woman_bowing::woman_bowing:",Negatif,"Mamah mamah in the whole world: .... mamahku literally mor-isuk: adek kalo proposalmu sudah ada, sini tunjukkan tidak mamah tak liate. isok mamah lek mek ngebimbing mahasiswa s1 dan aku mamah ngerti proposalku mangkrak 2 bulan:women_bowing::woman_bowing:"
whatever it is,Netral,Whatever it is
aku dan overthinking ku:(too much yang di khawatirkan..,Negatif,I think I'm too much.
aku selama di jogja itu niatnya healing and i got nothingat least ada ibu judes yg membantu menekan skripsiku bersama my luvly yg slalu bantuin :purple_heart:love u both,Positif,I've been here for a while and I'm not going to let you down. I don't have anything. At least there's a mother who helps me write.
"dari pada dengerin podcastny feminist kek magdalen, mending dengerin ini :face_with_tongue::face_with_tongue::face_with_tongue: episode untukmu… sayang aku telat! episode zozolab ""love, **** &amp; everything in between""",Netral,"From pada dengerin podcastny feminis kek magdalen, memperbaiki dengerin ini: wajah_dengan_bahasa:: wajah_dengan_bahasa:: wajah_dengan_bahasa:: episode untukmu... sayang aku telat! episode zozolab ""cinta, **** &amp; everything in between"""
masih ada yang ingat akan band ini atc - around the world menggebrak new millenium tahun 2000 dengan penuh semangat semoga tahun depan keadaan lebih baik :thumbs_up: lets sing around thd world la la la la,Positif,Still there yang think will band this atc - in the whole world menggebrak millennium new year 2000 with full of spirit hopefully next year better situation: thumbs_up: marilah bernyanyi of the whole world la la la la la la
"siapa tau ada yg mau kasih tau ini ada apa bisa dm aku, kepo sungguh",Netral,"Who knows what I want to love this is what I can do, kepo sungguh"
wbot waktu bagian overthinking:),Negatif,I'm not thinking too much:)
"kenapa ya orang lain tuh kalo healing pgnnya ditempat yg sepi ngadem gitu, tpi kalo aku malah suka ketempat rame dan banyak orangnya gitu, ketempat rekreasi contohnya :face_with_tears_of_joy:",Positif,Why do other orang-orang like it when I'm trying to get rid of them?
"overthinking, can't sleep",Negatif,I can't sleep.
"don't beat yourself up for not being able to move on, it's okay to feel how you do and while waiting can hurt, you will get over them eventually. give yourself time, and allow yourself patience. just keep fighting and you'll get there. i believe in you.",Positif,"Don't hit yourself because you can't move, don't feel anything to feel how you do it and while waiting can hurt, you will overcome them at last."
:red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:i remember listening this song while making a timelapse of singapore skyline at the marina barrage.feeling so nationalist for sg at that time:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:we are singapore - ndp 2018 theme song [official music video] via,Positif,:red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:aku remember listening to this song while making a time lapse from the skyline of singapore di marina barrage.merasa sangat nasionalis untuk sg pada saat itu:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:we are singapore - ndp 2018 lagu tema [video musik] via official
because everybody realized that your neighborhood nerdy engineer boy is probably gonna make a lot of $$$ soon from working in a start-up tech company in the future.,Netral,Because everyone realizes that your child is an environmental engineer and will probably make a lot of money soon from working in a startup technology company in the future.
alhamdulillah hari ini capek tapi seneng banget karena ketemu bestie sma,Positif,Thank God I'm tired today but I'm happy to meet my best friend
it surely is a tough year ever.,Negatif,This is a tough one.
lost a lot of trophies bcs disconnected while battling a lot of times,Negatif,I'm not sure how many times I've been able to get a lot of money.
on the other side i personally give mixed signals which actually means a yes tho:face_with_raised_eyebrow:,Netral,Di sisi lain aku sendiri memberikan sinyal campuran yang sebenarnya berarti ya tho:face_with_raised_eyebrow:
aku yang kalau bales chat bisa berjam2 bahkan berhari2. terkecuali ke mas crush. eh mas crush ga nge read aku sampe berhari2. emang karma ya anying,Negatif,I'm going to be able to talk to you if I can. I'm going to be able to talk to you if I can.
masi lom move on dr staycation sama cewek2 ini:pleading_face::smiling_face_with_hearts:,Positif,Massi lom moved to dr staycation sama cewek2 ini: pleading_face:: smiling_face_with_hearts:
dah gak bisa kedip kalau my crush potong rambut :',Positif,I can't cut my hair if I cut my hair.
spill goldar km kuuyyyy,Netral,I'm not going to lie.
gowes sore ini with my bestie :smiling_face_with_hearts::two_hearts:,Positif,I 'll be sick with my best friend .
maaf aku punya trust issues :(,Negatif,Sorry I have a problem with faith: ((
"drama **** 2 hari. marah-marah, nangis, overthinking. reda cuma dengan ""aku ke solo ya"" ajsbshsjiznxjsfg :upside-down_face:",Negatif,"Drama **** 2 days. angry-marah, crying, thinking excessively. reda cuma with ""aku ke solo ya"" ajsbshsjiznxjsfg:"
"sometimes this void will never ends even if i try to ignore &amp; distracting it by doing my daily activities, houseworks, &amp; being busy body. it's useless, it's just altered my mind for a while, not permanent solution.",Negatif,"Sometimes this job will never end even if I try to ignore and distract myself by doing my daily activities, the housework, the busy body."
"who earnestly will surely succeed. i'm sure this project will develop for the better, let's join.",Netral,"I'm sure this project will grow better, let's join."
"jujurly saat ini lagi nggak pingin apa, kecuali “dilancarkan skripsian sampai sidang” :loudly_crying_face::folded_hands_light_skin_tone:",Positif,"Jujur saat ini lagi tidak pingin apa, kecuali dilancarkan skripsian sampai sidang:"
kepo is care,Positif,Keeping is important
self healing,Netral,the penembhan diri
diumur segini aku ngerasa renggang dgn teman2 bahkan ga pernah lagi cerita atau chatan yg 24/7 sm bestie. kek ketemu atau chat seperlu nya aja. bukan ngejauh tp ngerasa udah beda aja ): dan akhirnya aku bener2 sendirian dan kesepian,Negatif,I've been feeling disturbed with my friends even I've never been able to talk to them again.
"lagi overthinking, ngebayangin emak sama abah lagi sarapan bareng euis. mereka ngomongin apa yaa?",Negatif,I'm going to eat with you in the morning.
bujangan lagi staycation:clinking_beer_mugs:,Netral,Bujangan lagi staycation: clinching_beer_mugs:
"it's been a while since the last movie i watched, peninsula made me awake in the first several minutes :expressionless_face:",Negatif,"It's been a long time since the last movie, Peninsula made me up in a few minutes."
i'm so fed up with this drama! just because i'm in silence doesn't mean i agree with any illogical nor ridiculous statements. still don't understand the reason i exit the gc? i honestly don't mind to tag the name (just don't call us bullies!) i'm eager waiting your 1 paragraph!,Negatif,I'm tired of this drama! Just because I'm not saying anything doesn't mean I agree with statements that aren't logical or stupid. Still don't understand the reason I left GC?
when in love our brain is floated with dopamine.. the made us feel good.. but when we broke up this chemical is gone . out body basically healing from a chemical addiction... so hang in there.. you will get through it,Netral,When we fall in love with the brain we get dopamine that makes us feel good but when we break chemistry this body is lost basically a cure from addiction chemistry so stay in the healing .. you will go through it
masih jadi tanda tanya apa yg gulf bisikin ke mew? dan sumpahh itu bikin kepo bgt:loudly_crying_face:,Negatif,Still so tanda tanya apa yang gulf bisikin ke mew? dan swear it is bikin kepo bgt:
happy new year everyone !! :clinking_glasses::bottle_with_popping_cork::sparkles::party_popper::clinking_glasses::kiss_mark::fireworks::woman_dancing_light_skin_tone::collision: @ happy new year,Positif,Happy New Year to all oranges !: clit_glasses::bottle_with_popping_cork::sparkles::party_popper:: clit_glasses::kiss_mark::fireworks::woman_dancing_light_skin_tone::collition: @ happy new year
healing ya buuuun,Netral,I'm going to kill you.
2020 is quite a year. i am blessed and grateful to have family and friends around me. looking forward for next year.,Positif,2020 is a good year. I am blessed and grateful to have a family and friends around me.
fukatsu(s) tu wajahnya mirip semua plek ketiplek anjir. even si kalo gua ga kasih tau masalah kemarin ngiranya fukatsu yg di tim b skrg itu yg main di pana:rolling_on_the_floor_laughing: gua jg baru sadar kmrn sih hahahaha,Netral,fukatsu(s) Your face is like all the places where you are. Even if you were like a gua ga love you problem yesterday ngiranya fukatsu yang di tim b now it is yang utama di pana:rolling_on_the_floor_laughing: gua jg baru sadar kmrn sih hahahaha
that's so amazing isn't? btw i took the video while having a trip to my home:sunrise:,Positif,"By the way, I was taking a video of it while I was on my way to my house."
cuma sekedar foto bapak-bapak yang lagi healing,Netral,I'm going to make a few more pictures of my father and my father
apa hari ini - lusa adalah waktu yang tepat untuk staycation? rekomendasi hotel yang nyaman di bekasi dan sekitar plsss..,Netral,What is the best time to stay?
"chanyeol mulai gombalin fans di acara fansign drama musical militer, nature is healing",Netral,"Chanyeol started Gombalin fans in the show fansign drama musical militar, alam adalah penyembuhan"
"si crush bilang ""nantik aku baper lho"". lho mas, kan emng niatnya mau bikin kamu baper mass, duh untung sayang.",Positif,"I'm not going to say ""Natik Aku Baper lho""."
storm troopers always miss... but this one's mouth surely more on target than his shot,Negatif,Pasukan tempur always mewatkan... but this mouth must be more on target than his tempakan
ini otak kalo gak overthinking gitu gabisa ya ? :expressionless_face:,Negatif,I think I don 't think too much like it 's a joke .
mendaki gunung lewati lembah sungai mengalir indah ke samudera bersama teman bertualang @ curug leuwi hejo sentul-bogor,Positif,Mendaki gunung lewati lembah sungai mengalir indah ke samudera bersama teman bertualang @ curug leuwi hejo sentul-bogor
ngopi sampe deeptalk,Netral,I'm not going to talk to you.
keep green even btc and all of altcoin red go future !!! $reef,Netral,Still green even BTC and all altcoins are going to go to the future !!!
instagram: where you can put caption that doesn't need to be related to the picture posted. can't get over this even it's been there for ages,Netral,Instagram: where can you put caption that doesn't need to be related to image that is posted.
temlen isinya salty tentang bos dan kerjaan aja nih,Negatif,Temlen is so full of shit about the boss and the job he's doing.
even the nights are better = now that we're here together,Positif,Even better than this
"apa itu fomo, dampaknya secara psikologis, dan cara mengatasinyaklik untuk baca:",Netral,"What is it like, the psychological impact, and how to get started reading:"
clingy taro.. .,Netral,Taro yang melekat..
"the audacity of them to accuse us when we tried our best to get the facts straight?? at this point, anyone would pint point us &amp; expect us to apologize when it's not even ours to begin with.if it's not for us to be loud, this problem will go unnoticed..",Negatif,And who will show us a pint &amp; hopefully we will apologize when it's not even ours to start with.
moon phases this week :full_moon: taken and playing around with . . . . .,Netral,This week's full moon: taken and played main with . . . . . . .
"belum menemukan support system yang baik, sampai sejauh ini.",Negatif,"I haven't found a system of support for Yang Baik, until now."
what happend honey? where are you? you don't even post anything on your birthday. not before or even after too. i hope you are okay and happy. online please! we miss you,Positif,"What's going on, darling? You're not even posting anything on your birthday."
"kalo sikapnya dah ky gt, gabisa ga overthinking",Negatif,"If you're not thinking too much,"
when i first seen the announcement my heart sank. then i realised that this isn't just any project or community… the reaction from holders and even non holders has been incredible to see. i should never have underestimated the famorie and the nft space. lfg!,Positif,When I first saw the announcement it was my third time. Then I realized that this was not just a project or community... the reaction of the pemegang and even non pemegang had been extraordinary to see.
"is this kind of joke? my internet just died, they said they have upgraded the speed without u even noticing the different. and in few days they will increase the subscription without mentioning the price. care to explain ?",Negatif,"Is this some kind of joke? Internet is my newest mate, they say they have increased speed without you even noticing the difference."
"2022 semoga tetap menjadi orang yang waras dan stabil diantara tempaan, batin kita harus terbiasa menghadapi kerelaan,..",Positif,"2022 may we remain orang yang waras and stable in the middle of temppaan, batin we must terbiasa facing kerelaan,.."
"they said generasi sekarang itu lunak aka ""strawberry generation"" . lembek, dikit² healing, lemah, **** yes mereka... para boomer... di masa sekarang kita makin melek sama salahnya pola asuh para boomer, dan pentingnya kondisi sehat mental. bukan lembek/cupu.",Negatif,"They say generation now is soft alias ""generation strawberry"". lembek, little2 penyembuhan, lemah, **** ya they... for boomers... in the masa now we make melek sama salahnya pola asuh for boomers, and the importance of mental health condition. not lembek/cupu."
morning... may happiness around us. have a blessing sunday:smiling_face_with_heart-eyes:,Positif,I hope you are happy with your life.
"reonites, kepo ****! biasanya bangun jam berapa nih di hari libur?",Netral,Usually wake up jam how many days of holidays?
sukacita yang terekam kamera saat presentasi. :check_mark_button: meeting the media :check_mark_button: stadium walk around :check_mark_button: museum tour adakah harapan kalian untuk chiesa?,Netral,I'm going to take a look at the video.
gimana ya biar ga overthinking :pleading_face:,Negatif,How do you let me think too much:
overthinking 11 dino og ra rampung rampung to iki,Negatif,I think I'm over 11 and I'm finished.
"kecoa apa yang buat lelah ? jawab ya bestie sering"" aja hihi",Netral,What is it that makes you happy ?
