cleaned_tweet,label,backtranslated_tweet
apakah sopan buka spt orang terus di spill ke twitter? engga lah!!,Negatif,Do you want to go to Spt Orang to keep spreading on Twitter?
"manusia-manusia mungkin sudah pada tertidur nyenyak gue masih overthinking aja sama masalah ""pekerjaan"".",Negatif,"Man-manusia may already be on the third floor. I'm still thinking too much about my problem of ""work""."
"daripada bosen di kereta, coba spill ig-mu deh kita mutualan, cepet ya. msh 3 jam lagi nih",Netral,"Instead of being in the car, try to fuck off with each other, quick ya."
"a woman who is being treated in the patient's room inside the hospital, even smokes. is that woman going to die quickly because while smoking cigarettes she suffers so much pain!?:no_smoking::skull_and_crossbones::hospital:",Negatif,"A woman who is in the hospital room is a patient in a hospital, even smoking. Is a woman going to die quickly because she smokes?"
last day in 2020 and i feel so grateful coz i spend this precious year with n army all around the world i love you so much guys thank you for accepting me :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:,Positif,Last day of the year 2020 and I feel very grateful because I spent this precious year with the army of the whole world I am very much in love with you guys thank you have accepted me::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::pur
2020 ? january - february - corona - married - december always be grateful even though there are many delays :sparkles:,Positif,January - February - Corona - menikah - Desember always grateful though there are many penundaan:
udah seneng dpt gladiator. tp stat awalnya healing bonus moonton anjing,Negatif,I'm already happy to be a gladiator.
suka banget overthinking :) di malem hari,Negatif,They think too much.
susah bgt percaya lg sama org yg udh bikin kecewa + trust issues gue gede bgt yaallah suudzon mulu sm org org:face_with_medical_mask:,Negatif,Hard to believe in my own people who are already disappointed + problem of faith in me greatly bgt yaallah suudzon mulu sm org:face_with_medical_mask:
"mau tidur jd susah gegara ga angkat tlpon &amp; chat ""bantuin dong"" kan overthinking ini org kenapaa yak :smiling_face_with_tear:nangisss deh akuuu yawohh",Negatif,"Mau tidur jd susah gegara ga angkat tlpon &amp; chat ""bantuin dong"" kan terlalu memikirkan ini org kenapaa yak:smiling_face_with_tear:nangisss deh akuuu yawohh"
(probably) last sahoor me only with batagor :rolling_on_the_floor_laughing:,Netral,(maybe) last time I heard my life with batagor:
"overthinking memikirkan duit yg gk habis².. ya gimana gk habis, duit ge kadit ada ngehe",Negatif,I'm not sure how much money I have.
"yang banyak dibilang orang ""bagus dari segi manapun..."" ya gatau kan kalo dibalik itu ternyata suka gaslighting?",Negatif,"Yang banyak mengatakan orang ""bagus dari segi manapun""... Ya gatau kan kalo dibalik itu ternyata seperti gaslighting?"
dunno if it actually solved anything but i am now lying on the floor,Negatif,I don't know if it's really solving something but I'm now lying on the floor
oh my **** this is a serious seismic turn of cultural events and i'm not even employing my usual unrestrained hyperbole,Netral,"Oh, this is a serious seismic change from cultural events and I'm not even using hyperbola to control what I'm doing."
"aku kepo, tapi aku tahan. biar cepet lupa, nanti lama2 juga biasa:smiling_face_with_tear:",Netral,I'm not going to be able to do it.
"enjoying my healing stay in , gorgeously designed by - communal area at night @ sukasantai farmstay",Positif,"Enjoy the care of my family, beautifully designed by the local community of malam hari @ sukasantai farmstay"
"i launched multiple random ideas before landing on bannerbear. if i could do it all over, i would focus on a theme/specialization and launch ideas around it. for me, everything changed when i figured out what i was interested in, and just kept pulling that thread.",Positif,"I've launched a few ideas before I started doing it again. If I can do it again, I'll focus on the theme/specialization and launch ideas about it."
literally,Netral,by the way
menghabiskan malam dengan overthinking,Negatif,Spending the night thinking too much
"ngoceh mulu, bantuin kek admin sebelah ~ daripada gabut. literally gabut dan kondisi ini akan berlangsung 3/4thn lg? oh wow.",Negatif,"Ngoceh mulu, help in admin cake sebelah ~ ~ daripada gabut. literally gabut dan condition this will last 3/4 lg? oh wow."
staycation di cancel wew,Negatif,staycation in the membatalkan wew
"i'm sorry to say as a swiffers, but actually positions has both while folklore opening and closing (non deluxe version) kinda sucks",Negatif,"Sorry to say as swiffers, but actually position have both while folklore opens and closes (version non-deluxe) a bit difficult"
we have been invited to a virtual wedding in klungkung this afternoon which is a first for me and a very good idea in these times of covid!,Positif,We have been invited to a virtual wedding in Klungkung sore this is the first time for me and my idea is very good in this COVID-mass!
me with my ex high school crush,Netral,I'm with my ex-girlfriend at high school
"page page ndasmuu. tetap aja aktifitas ku tiap hari ""overthinking"".",Negatif,I'm not going to say anything.
kangen crush guwe lah bukan mantan!,Netral,I'm not a former.
ain't gonna live foreverjust want to live while aliveso long and good night @ hara,Netral,I won't live forever just want to live forever so long and good
healing guys ehe,Positif,I'm going to go and get some oranges.
"hallo gengs perkenalkan nama gw anwar . gw contet creator asal bogor dan gw biasanya sharing tentang hobby gw traveling,dari sharing tentang destinasi wisata,kuliner sampai tempat staycation dan hidden gems . biasanya gw share di akun salam kenal :raising_hands:",Netral,"Hello friends, I was introduced to you. I am a content creator from Bogor and I usually share about my hobbies traveling, from sharing about my travel destinations, culinary to places of residence and hidden treasures."
"siapa sih yang gak suka dengan buah ini, hampir semua orang suka buah ini dan paliang banyak di daerah kota medan, pasti termasuk kamukan bestie ?",Positif,"Who the hell doesn't like this fruit, almost everyone likes this fruit and many who live in the area of Kota medan, must include kamukan bestie?"
aku mah santuy aj,Positif,I am not a saint
"kemaren ngebet banget pen pacaran sama crush,giliran udah pacran malah pengen cepet² putus",Negatif,"Kemaren ngebet banget pen pacaran sama crush,giliran udah pacran malah pengen cepet2 putus"
"kalo dlu suka kena bohongin jadi suka parnoan sendiri, bukannya ngak percayaan cuma skrng jd lebih hati2, untng km orngnya santuy jawab semua pertanyaan aku ngak marah, perlahan tp pasti rasa parnoan ini akan sembuh, bersabarlah ... terimakasih sudah mau mengerti diriku",Positif,"If I like to get bohongin so I like to parnoan myself, instead of ngak believean cuma sekarang jd lebih hati2, untng km orngnya santuy jawab semua pertanyaanku ngak marah, perlahan tp pasti rasa parnoan ini akan sembuh, bersabarlah... terimakasih sudah mau mengerti diriku"
"you had a bad day you're taking one down you sing a sad song just to turn it around you say you don't know you tell me, don't lie you work at a smile, and you go for a ride you had a bad day the camera don't lie you're coming back down and you really don't mind you had a bad day",Negatif,"You have a bad day you take one down you know a sad song only to change it you say you don't know you tell me don't lie you work on a smile, and you go on a journey you have a bad day camera don't lie you go back down and you really don't have a bad day you have a bad day"
"waktunya refreshing, ya gpp sih walaupun cuma staycation doank wkwk",Positif,"It's time to get married, yeah, even if I'm just staying on vacation, I'm not going to get married"
"skrg lg ovt nder, mau nyari sugdad apa jd mermeid atau jd ikan koi atau bs aja jd pasangannya mafia??? ikutin alur aja nder :) jgn dipaksain, untuk org yg pnya jiwa ""ambis"" lumayan gede, jujurly gak mau terlalu gimana2 soalnya kl gagal gua bs gila sendiri :""",Negatif,"Now lg ovt dalam, want to get sugdad apa jd mermeid or jd ikan koi or bs aja jd pasangannya mafia??? ikutin alur aja dalam :) don't be compelled, for org yang pnya jiwa ""ambis"" lumayan gede, jujur gak mau terlalu gimana2 soalnya kl gagal gua bs gila sendiri :"""
"ada orang suka anxiety, sering overthinking, suka galau dan mencemaskan hidup yang berlebihan. kira2 bagaimana hubungan orang tersebut dengan tuhannya ?",Negatif,I'm not sure what I'm saying.
"gapernah nyesal dulu suka banget sama 1d, dan sekarang aku bersyukur bgt bisa kenal bangtan as my support system &amp; the only one i stan now :red_heart:",Positif,"Gapernah Nyesal dulu suka banget sama 1d, dan sekarang aku bersyukur bgt bisa kenal bangtan sebagai sistem dukungan ku &amp; the only yang ku berdiri sekarang: red_heart:"
honestly sometimes my life is like a lot of people who don't want me to be a programmer.,Negatif,Honestly sometimes my life is like many orang yang don't want me to be a programmer.
"kadang bingung aja, gimana ya caranya org bisa anggap org lain bestie nya ketika baru kenal beberapa bulan atau setahunan gitu. sedangkan aku aja kadang masih sering ragu apakah bestie ku skrg itu benar benar bestie? meskipun sudah kenal beberapa tahun bahkan diatas 5 tahun",Negatif,"Sometimes I'm confused, how can people consider others as best friends after only knowing a few months or a year like that. Whereas I'm still sometimes in doubt if my best friend is really best?"
"staying quite doesnt mean i have nothing to say, it means i dont think you are ready to hear my thoughts. i prefer talk to the mother nature @ broken beach nusa penida",Positif,I don't think you're ready to hear my thoughts. I like to talk to my mom.
beautiful-crush (goblin ost cover) i sing this song especially for kim taehyung :face_with_hand_over_mouth: i miss you v :purple_heart: 사랑해 :purple_heart: #방탄소년단,Positif,I remember this song especially for Kim Taehyung: wajah_dengan_tangan_atas_ mulut: aku merindukanmu v: purple_heart: 사랑해: purple_heart: #방탄소년단
"may peace fills all the empty spaces around us, may happiness answers all our wishes this year. wishing islamic hijri new year. @ millennia world school",Positif,"May peace fill all the empty space around us, may happiness fulfill all our wishes this year."
don't run around in my mind for a second,Negatif,Don't be in my head for a second.
"welcome august! it's feel same, nobody care, no have crush, nothing moodbooster, nothing else! never mind, i don't need them. i just want be a rich person and buy anything what i want.",Negatif,"It's like, nothing matters, nothing makes you feel better, nothing makes you feel better."
gak ada yang spill sedikit apa..ntar bakal gimana?? pusing sing sepanjang hari ot mulu..,Negatif,I'm not going to miss you all day long.
when u are a foodie yet you were too **** last night (and threw up 3x this morning) even desirable lunch made you afraid to eat more because you are sooooo afraid of throwing up again.,Negatif,When you're a foodie but you're too **** malam tadi (and vomit 3x this morning) even eating siang yang diinginkan makes you afraid to eat more because you're so scared to vomit again.
sexist joke is not a joke. sungguh perilaku memalukan dan menggambarkan betapa dangkalnya isi otak.,Negatif,That's not a joke.
"salah banget lagi isoman bareng bapak ibuk, terus baca tweet ttg keluarga yg ditinggalkan ke surga akibat covid19. **** aku jadi overthinking!",Negatif,"Salah banget lagi Isoman bersama bapak ibuk, keep reading tweet about the family that was left in heaven as a result of covid19. **** I'm so too thinking!"
jealousy kills bestie lol just a reminder,Negatif,Cemburu kills the best lol only pengingat
"fomo gegara gk tahu trend di apk tt :"" apakah ini saatnya ku harus membuat dan goyang - goyang???",Netral,"Fomo gegara gk tahu tren di apk tt :"" Is this the time I have to make dan goyang - goyang???"
healing. (2),Netral,the use of the product.
engga suka kalo lagi overthinking gini:pleading_face::pleading_face:,Negatif,I don't like it any more than I think.
"liat arsipan 2021 banyak bgt yg bikin nangis sampe cape,dan ternyata aku bisa lewatin itu semua,2021 is a **** ****,udah dibikin hancur,gila,remuk,depresi,anxiety,cape.",Negatif,"See Arsipan 2021 a lot of people who are crying until they get to the top, and it turns out I can get through it all,2021 is a **** ****,udah dibikin hancur,gila,remuk,depression,keprihatinan,ke atas."
you are the most popular in my head. even when i sleep i keep my head busy with you. because you always stop in my dreams. you are like an active cell in my brain which never stops here and there.,Positif,You are the most popular thing in my head. Even when I sleep I keep my head busy with you. Because you always stop dreaming of you. You are like an active cell in my brain that never stops here and there.
ke bali kok healing? ya motoranlah,Positif,Are you going to make me feel better?
"hahahaha, the audacity they have for saying wave is unpopular when it literally won m countdown &amp; the show plus soribada best performance (even i was not an official atiny back then, i knew wave was one of the 'it' summer songs back then!) #에이티즈",Negatif,"hahahaha, keberanian mereka untuk mengatakan gelombang tidak populer ketika itu benar-benar memenangkan m Countdown &amp; show ditambah soribada terbaik kinerja (bahkan saya tidak resmi Atiny pada saat itu, saya tahu gelombang adalah salah satu 'itu' lagu musim panas pada saat itu!) #에이티즈"
staycation ke mana ya enaknya,Netral,Staycation ke mana ya enaknya
kuy kapan nih?abis lebaran dah biar santuy,Netral,I'm already a little bit too busy to let Sanctuary go.
"deep session &amp; deep talk @ jakarta, indonesia",Netral,"The first is the ""Seni Deep &amp; Deep Talk"" @ jakarta, Indonesia"
"akhirnyaa active ig, setelah sebulan lebih off. wkwk kepo sama kehidupan org org :rolling_on_the_floor_laughing:",Positif,"I'm finally active, after a month."
"amber's lawyers hired to say hearsay all the time :rolling_on_the_floor_laughing:, even when he's the one who asked a question! what a clown!",Negatif,"Pengacara Amber disewa to say rumor all the time: ""Rolling_on_the_floor_laughing"", even when she yang poses a question!"
para asistenku.. :rolling_on_the_floor_laughing::face_with_hand_over_mouth: :growing_heart: @ dimana mana hatiku senang,Positif,Para asistenku..:rolling_on_the_floor_laughing::face_with_hand_over_mouth: :growing_heart: @ dimana mana hatiku senang
staycation~,Netral,Staying
"yaallah kembalikanlah sikap santuy dan berpikir positif ku dulu, saia ingin menerapkanya kembali :crying_face:",Negatif,"Yaallah, I want to return to the attitude of the holy and think positively first, I want to implement it again:"
"hi bestie yuk! berlangganan sekarang dan dapetin diskon biaya pemasangan 70%, dengan kecepatan internet super cepat up to 40 mbps, bebas akses disney+ hotstar dan bonus 1 bulan berlangganan.",Netral,"Hi friends! subscription now and get a discount on the cost of subscription 70%, with internet speed super fast up to 40 Mbps, free access to Disney+ Hotstar and bonus 1 month subscription."
jujurly aku apa2 udah ketergantungan sm kamu si,Netral,Jujur aku sudah ketergantungan sm kamu si
this is interesting esp. with the part that saying enfp sometimes will focus more on the other person they talked to. i notice it with my infp bestie. but she's a great storyteller tho so u cant help but listening to her stories :beaming_face_with_smiling_eyes:,Positif,I'm interested in my infp. but he is a great storyteller so you can't help but listen to the story:
bete bgt bestie,Negatif,- I'm not going to.
"this is epic, they lost the aegis but still can wipe out the opponent team humblegod surely a humblegod",Positif,"I'm an epic, they've lost their egos but they can still destroy Tim Lwanegod Humlegod Past Humlegod"
"thank you izone for your struggles for 2, 5 years:smiling_face_with_smiling_eyes:wizone hope izone always supports each other even though they have separated:smiling_face_with_open_hands::pleading_face:",Positif,Thank you for your struggle for 2.5 years: smiling_face_with_smiling_eyes: widow hope izone always supports one sama lain even though they have been separated: smiling_face_with_open_hands:: pleading_face:
"i think, when you truly love something, you put them first before yourself. this morning, when i woke up, i feed my fish, and change the water. while me, i don't even drink water when i do that.",Positif,"I think, when you really love something, you put them in front of yourself this morning, when I wake up, I feed you ikanku, and change the air."
koko bobo santuy @ taman permata cikarang,Netral,Koko bobo santuy @ taman permata cikarang
"sunflower blossom in my garden, my sun tracking device finally show its beauty. its called “sunrise”, because bright yellow color and bring good mood for people around. happy friday everyone.",Positif,"I'm a little bit worried about the sunrise, but I'm not sure if it's a good day."
"so i lay a dozen roses for the lover that i've lost i stand by all my choices, even though i paid the cost :loudly_crying_face:",Negatif,"So I put a few roses for my loved ones I lost I stand for all my choices, even though I pay the cost:"
goals: menyelesaikan shor tail sampling hari ini. demi kenyamanan dan keamanan staycation ku besok:raised_fist_light_skin_tone:,Positif,The aim is to complete the sampling on the beach today.
"what do you think? ? the next problem for btc is fee, that's why i prefer eth than btc in my portofolio",Netral,"What are you thinking? The next problem for BTC is the cost, which is why I prefer Eth to BTC in my portfolio"
ini moots minta di follow tp gk follback ada masalah apasi bestie sini cerita,Netral,I'm going to follow you. I'm going to follow you.
"setelah semua rutinitas itu, it's time for self healing :collision:",Positif,"After all the routines, it's time to make a decision."
"ibuk penjual soto lamongan dah pamit mo mudik seminggu beserta bestie"" warung pecel lele lamongan lainny. survive indomie dan sarden.",Netral,I'm going to go back to the hotel and have a nice dinner.
kumat overthinking,Negatif,I think it's too much
bsa buat suguhan pas hari lebaran nnt bestie.. mau lbh bnyak tnggal tambah baso mentah atw bsa jga pnya daging lebaran bnyak d tambahin tnggal naro mangkok dan krupuk jdi deh hidangan buat obat sakit kepala wkwkwkk:face_savoring_food:,Netral,I'm not sure if I'm going to make any more meat than I'm going to make any more meat.
kena php di jkt udah biasa... kena php di lombok dooongg.. auto staycation sendirian,Negatif,I have to go to Lombok to stay alone.
"pengalaman mudik di klaten ini kebutuhan listrik malam cuma lampu-lampu dan elektronik kecil saja. klo pake plts enak bgt. keluarga besar ndak tau aku tukang masangin plts, gak ada yang kepo nanya kerjaan yang penting sodara pada kumpul. tenang banget dah..",Positif,I have a lot of experience in the classroom. I need electricity. I just need a light bulb and a little electronics.
"bismillahirrahmanirrahim pengen ki' yang nyaman dan aman? tenang ki' bestie percayakan selalu kebutuhan ta' dengan sales resmi toyota, segera klik untuk diskusi kebutuhan ta' sekarang juga bersama alam toyota_mo andalang na daya:smiling_face_with_sunglasses::smiling_face_with_sunglasses:",Netral,I'm so happy that I'm here to help you. I'm so happy that I'm here to help you.
i actually like this,Positif,I really like this.
"malu gaksi kalo tb tb ketemu crush :""",Negatif,I'm not sure if I'm going to be able to do it.
"i like it. i somehow found myself asking this question a lot, so perhaps this is a good rule of thumb for pm to also **** on whether they are working on tech company product or not. (this might implicates how much impact you can bring to the company)",Positif,"I like it. I don't know how to find myself asking myself this question a lot, so maybe this is a good rule of thumb for PM for also **** if they work on the product of the company technology or not. (I might remember how much impact you can bring to the company)"
"kadang kesel sama diri sendiri, kenapa overthinking banget jadi manusia. padahal orang lain liatnya kek ""heleh gitu doang"" tapi akunya bisa kepikiran berharihari. kan sangat amat tidak menyenangkan:upside-down_face:",Negatif,"Sometimes I feel sad about myself, why too much to think about being human. While other people see it as a ""heleh gitu berdoa"" cake but I can think about it."
coba deh spill di sini fase stelah nikah muda,Netral,Try to get rid of this phase stelah nikah muda
white koffie karena actually bikin perih di lambung,Negatif,I'm not sure why.
dari akun ini not even to ugliest woman in usa you will touch for real weirdos like you all will just underground forever with fake touch screen marriage and an old grandmother for real marriage together with some men in cult,Netral,From this account even to the worst woman in the United States You will touch for a real strange like you all will live underground forever with a fake screen wedding and your grandmother for a real wedding with some men in the cult
healing dl dr deadline :smiling_face_with_smiling_eyes: @ film di cinemaxx q mall banjarbaru,Positif,Healing dl dr deadline: smiling_face_with_smiley_eyes: @ film di cinemaxx q mall banjarbaru
finallyyyyyyy:black_heart::black_heart::black_heart::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts: whatever about awards. i just looking ggone post soooo beautiful:black_heart::black_heart::smiling_face_with_hearts::smiling_face_with_hearts::loudly_crying_face:,Positif,finalnyayyyyyy:black_heart::black_heart::black_heart::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_face_with_hearts::smiling_face_with_face_with_hearts::smiling_face_with_face_with_hearts::smiling_face_with_face_with_hearts::smiling_face_with_face_with_face_with_hearts::smiling_face_with_face_
"until now, fear and anxiety are still on my side after your departure.",Negatif,"Till now, rasa takut dan kecemasan is still in the sisiku after you go."
**** giselle emang yg konsep gini girl crush giselle emang pas bgt. apalagi kalau cosplay tantri kotak,Positif,Giselle emang yang konsep gini gadis crush Giselle emang yang yang tidak begitu. especially if cosplay tantri kotak
"i stand for humanity... dear all brothers and sister in rusia &amp; ukrine and all around the world, live in peace is the best option!",Positif,"Dear all the brothers and sisters of Russia and Ukraine and of the whole world, living in peace is the best option!"
"nontonin webinar (eng) di yutup. ada 3 speaker from around the world. 1st one is from idn, setting kecepatan pemutaran 1,5x karena ez to understand. move to american accent, kecepatan diturinin ke 1,25x wkwkw. and the last is british accent, kecepatan pemutaran normal :loudly_crying_face::thumbs_up:",Netral,"There are three speakers from all over the world. The first is from the IDN, organizing the speed of change 1.5x because it's not to understand."
ㅤㅤㅤ now keep santuy cus fest bakal keluarrrr ㅤㅤㅤ,Positif,ᅠᅠᅠ now keep the santay cus fest will be a complaint ᅠᅠᅠ
2 hari berturut turut burnout di kantor :thumbs_up:,Negatif,2 days after the burnout in the office:
crush pertamaku di dunia perbolaan. dulu sampe beli baju bola nomor 17 karna itu nomor punggungnya ib wkwkwkk,Netral,To destroy my first time in the world perbolaan dulu sampai beli baju bola no. 17 because it is the number backgungnya ib wkwkwkk
staycation surabaya,Netral,staycation in Surabaya
"mulai skrng gak usah makan diet dgn makan salad ala luar negeri yg mehong, trnyata gado2 da' best in da' world bestie. arab uncle roger jilbab",Positif,"Start now don't eat diet with eating salad ala luar negeri yang mehong, it turned out to be the best in the world"
"ameh turu overthinking ,, tangi turuuu tambah overthinkinh -_-",Negatif,"I'm thinking too much, I'm thinking too much too much."
"haafidz menjelaskan cara cepat terbang kelangit, selamat hari senin...:winking_face_with_tongue::face_with_tears_of_joy::folded_hands::smiling_face_with_hearts: @ malino kota bunga",Positif,"Haafidz explains how to fly quickly Kelangit, selamat hari senin...:winking_face_with_tongue::face_with_tears_of_joy::folded_hands::smile_face_with_hearts: @malino kota bunga"
"it's okay to be sad. just lay down your head onto bed. or even, side by side with my head",Negatif,"Nothing to be sad about. Just put your head in bed. Or even, side-side with my head."
ini dia chat dri bulan maret jdi co juga akhirnya emng rejeki mah ga kemana. gue yg jualan jg terlalu santuy wkwkwkkkkk,Positif,I'm going to the moon maret and I'm going to the moon maret and I'm going to the moon maret and I'm going to the moon maret and I'm going to the moon maret and I'm going to the moon maret and I'm going to the moon maret and I'm going to the moon maret and I'm going to the moon maret and I'm going to the moon maret and I'm going to the moon maret and I'm going to the moon maret and I'm going to the moon maret and I'm going to the moon maret and I'm going to the moon maret and I'm going to the moon maret and I'm going to the moon maret and I'm going to the moon maret and I'm going to the moon maret and I'm going to the moon mar
"subtwt when you post your art or anything really treat it as dumping it into a void because **** gurl twt is really a void. interaction or likes usually comes from people who happen to notice your post, not those who actually like it or something.",Netral,"Subtwt when you post seni Anda or something that actually treats it as throwing into a mess because **** gurl twt really a mess. interaction or suka usually comes from people who happen to notice posting you, not they yang really menyukainya or something."
"how i get my demon i was at my saturation point, no one understand, nobody's care about me. suicidal mind for many years. and then someone talked to me inside my head. give me the best advice i ever heard. save me for many times.",Negatif,"I'm at the point of being alone, I don't have any understanding, I don't have any concerns about my thoughts of suicide for years and then someone talks to me in my thoughts."
"in case you got something in dm from me, do not open it... it's a spam link that i don't even know how did i got into (heck i was sleeping peacefully when that happen at like 2 am)",Negatif,"If you get something in DM from me, don't bother... it's a spam link that I don't even know how I got in (heck I slept with calm when it happened around 2am)"
"keep your hands clean let the other hands do the rest i'll be silence, they already knows how you are and what you are doing. if you hit me.. i won't hit you up, if you talk to all the people you've met that's your business, i don't even care.. someday you'll get pay back",Positif,"Let the other hands do the rest I'll be quiet, they already know how you and what you do. If you hit me .. I won't hit you, if you talk to all the people you've met it's your business, I don't even care .. one day you will get your payment back"
"me: :fire::speaking_head: (lagi cerita banyak masalah) bestie: :moai:(masalah dari mannya woe. muka lu slow banged) me: :persevering_face: (lagi ngeluh karna saldo abis) bestie: :face_exhaling: (terus yg elu tarik barusan di mesin atm apaan jrt?, mau gue anggap daun rupiah??)",Negatif,I'm not sure what I'm going to do. I'm not sure what I'm going to do.
sendernya gk pernah healing nih. trus pulang pulang sinting.,Negatif,Pengirimnya never said goodbye.
coba spill nama crush klian berani gk???,Netral,Try to talk to the name crush clian brave gk???
my bestie,Netral,My friend
"when someone asks, what kind of blues is yours? is it like robert johnson? bb king? john mayer? nirvana? or even like metallica? it's better if you just answer: 'my blues is me' (blues-ku adalah aku)...",Netral,"When someone asks, what kind of blues are you? Is it like Robert Johnson? BB King? John Mayer? Nirvana? or even like Metallica? better if you just answer: 'Blues-ku is aku' (blues-ku is aku)..."
even the grey sky is beautiful. thank u ****.,Positif,Even the sky is beautiful.
if handita reksi and putri nastitie leave me surely i will end up alone forever,Negatif,If Handita Reksi and daughter Nastitie leave you I will be alone forever
insyekurrr+overthinking boleh ga? :smiling_face_with_tear:,Negatif,"If you think too much, you can get it."
"everytime i see my phone notification ""hii putu..... "" then i tryna ignore it, my heart beating fast, while wondering what i have done today",Negatif,"Every time I see a newsletter on my phone ""hi putu....."" I try to get started, I hate to get up fast, wondering what I've been doing today"
main ludo adalah jalan ninja ku untuk mendistraksi anxiety,Positif,The main ludo is the way ninja ku untuk mendistraksi kecemasan
selamat overthinking,Negatif,I think it's too much.
"jungwon and the floor while singing is a true love. once into the iland and then **** dazed, stable voice and sharp dance move. yeoksi uri jungone :clapping_hands::clapping_hands::clapping_hands: bravo",Positif,"Jungwon dan lantai sambil bernyanyi adalah cinta sejati. once ke pulau dan kemudian **** suara yang tak terduga, stabil dan gerakan tari tajam. yeoksi uri jungone:"
healing + trawas gaada obat emang :sparkles:,Positif,This is the list of medicines used in the preparation of medicines.
konser lah! udah dpt tiket sm paspor nya yakali nungguin pasangan di spill,Netral,"I've got a ticket for a new passport, and I'm waiting for a couple in the bocor."
"tempat healing terbaik tahun ini. jarak 500an km, pergi sendirian tapi gk ngerasa sepi sama sekali. kesekian kalinya pergi ke dieng sendirian. klo ada kesemepatan lagi...tahun depan pengen balik kesini lagi. aamiin",Positif,"The best place to go this year. 500 km away, go alone but don't feel alone once. Kesekian kali go to the day alone."
"konsisten, gaboleh fomo",Positif,"Consistent, can get Dari"
"deep in my heart, i am lonely. unconsciously, i have built wall around me.",Negatif,"In the middle of it, I'm lonely, and I'm not aware, I'm building walls around you."
and i dont even need your love but you treat me like a stranger that feels so rough,Negatif,And I don't even need your love but you treat me like a stranger who feels so rude
"please, let me to dissapear for a while",Negatif,"Please, let me disappear for a while"
paling ga suka sm orang yg basa basi. to the point aja ngapa. maunya apaaa.. suka zebel yg aslinya aku udh tau maksut dan tujuan anda. tp kenapa harus belibet muter2 :face_with_tears_of_joy::face_with_tears_of_joy:,Negatif,"Most of all, I like the orang-yang base. Till the point of a ngapa. Maunya apaaa.. like Zebel yang aslinya aku udh tau maksut dan tujuanmu. tp knp harus percaya muter2:"
"one of my support system :dove: semangat streaming, ayo kita nge roeg :fire::fire:",Positif,One of the main reasons for this is that the government is not going to be able to keep up with the demand for electricity.
"hehhee, dah lah jngn kebanyakan overthinking, besok gajian ayo hura2 lagii",Negatif,"Hey, that's mostly thinking exaggerated, tomorrow morning let's hurry again"
even if i die no one cares... because i've always been in this world alone,Negatif,Even if I die there is nothing that matters... because I am always alone in this world
mau staycation di akhr tahun bgt haha,Netral,Mau staycation in akhr tahun bgt haha
ketika lu udh tw bakal macet tp tetep maksain buat healing kwkwkwkww,Negatif,"When you are dead, I will remain alive and bless you."
aneh deh setiap gue overthinking sm dia dan ngerasa cape sm semua kelakuan dia tapi pas ketemu tuh gua ngerasa dia sayang bgt sm gua. racun anjg,Negatif,It's weird that I think too much about him and I feel like I'm not doing anything but I don't see him.
"pergi healing, pulang anjing",Negatif,"Going to make a mess, going back to the dog"
"makin nambah umur, makin menikmati waktu curhat malam2 sama tuhan. tuhan itu bestie banget lah buat aku.... :smiling_face_with_open_hands::smiling_face_with_open_hands::smiling_face_with_open_hands::smiling_face_with_open_hands:",Positif,"I'm getting older, I'm enjoying my time with my God."
i dont even have energy to get mad :face_exhaling:,Negatif,I don't even have the energy to anger:
staycation di hutan.. gua tiap di hari hutan... gua prefer makan mie aceh atau mcd deh bareng kamu,Negatif,I live in the woods... I go out every day in the woods... I go out to eat with you.
"jadilah tetap sejuk meski ditempat yang panas, tetap tenang meski di terpa badai yang hebat, tetep narsis ben disawang panggah manis :grinning_face_with_big_eyes::grinning_face_with_big_eyes::grinning_face_with_big_eyes: epribade is ping de :two_hearts: #**** kapal bandar latte",Positif,"So stay cool even though ditempat yang panas, stay calm even though di terpa badai yang hebat, stay narsis ben disawang panggah manis: smile_muka_dengan_mata_besar:: smile_muka_dengan_mata_besar:: smile_muka_dengan_mata_besar:: smiley_muka_dengan_mata_besar:: epribade adalah ping de: dua_hati: #**** kapal bandar latte"
