emoji_en,label,backtranslated_tweet
manifesting 2022 has a new camera + lens :smiling_face_with_halo::folded_hands:,Positif,realize 2022 has a new camera + lens:smiling_face_with_hello::folded_hands:
"exit healing, when i go home apart :pensive_face:",Negatif,"healing out, when I come home apart:pensive_face:"
very fomo foden,Negatif,very fomo foden
overthinking thinking about life :cross_mark: overthinking after watching a troubled movie :check_mark_button:,Negatif,over thinking about life:cross_mark: over thinking after watching a trouble movie : check_mark_button:
whats go around is go around,Netral,whats go around is go around
"ga mulukac, healing for rantau children is homecoming and meeting families",Netral,No big deal. The cure for my flat kids is homecoming and family meeting.
spill how to tdr plizzz,Negatif,Spill how to tdr plizzz
healing to the top? hahaha there is even adding stress ....,Negatif,There's even added stress....
just around the corner 1 nov 21,Netral,Just around the corner 1 nov 21
"the intention of the heart wants to staycation when nyepi later, if there is no staycation friend :backhand_index_pointing_right::backhand_index_pointing_left::upside-down_face: *just say there is no money",Negatif,"liver intentions want to stay when quiet, if no staycation friends: backhand_index_pointing_right:: backhand-index_pointing_left: upside-down_face: *just say there is no money"
good evening to my lovely sweetie baby bestie,Netral,Good night to my dear dear bestie.
"i don't know anymore, it's a shame, the pokonya is the same as you, you guys are already like sodara, i don't understand anymore, when you're upset, you like to suddenly appear, when i'm down again, you who like to suddenly invite healing, the poko loves you guys many "":blue_heart::blue_heart::blue_heart::blue_heart:",Positif,"I don't know anymore, it's embarrassing, the poko is the same as you, you guys are like brothers, I don't understand anymore, when you're angry, you want to suddenly show up, when I get down again, you who want to suddenly invite a cure, poko loves you a lot."":blue_heart: Blue_heart: Blue_heart:"
"this is what makes overthinking, thx y bestie. really piercing the solar plexus",Negatif,"This is what makes you think too much, thx y bestie. Really stab the sun plexus."
:red_heart::orange_heart::yellow_heart::green_heart::blue_heart::brown_heart::black_heart::white_heart::broken_heart::heart_exclamation::two_hearts::revolving_hearts::beating_heart::growing_heart::sparkling_heart::heart_with_arrow::heart_with_ribbon:these are our expressions or feelings which are your? me: :heart_exclamation: this is the meaning of strong love so which are you :smiling_face_with_open_hands::smiling_face:,Positif,:red_heart:::white_heart:::::::heart_exclamation:::::::brown_heart::::::::heart_with_bond_heart:::::::::::revolving_heart:::::::
"by all these accidents, i've learned that how to import not to do anything online. the cyber ​​crimes are real!. nowdays, people are going online for their safety while finding an escape way to hide any-evidence. sounds like primitive but business ways much better off-line !!",Netral,"by all these accidents, I've learned that how to import anything online. Cyber crimes are real!..now, people will be online for their safety while finding a way to escape to hide every-caused. sound like primitive but business way much better off-line!!!"
"just relax have a younger boyfriend, koe will be fine, not getting married above two goals. enjoy the ena, realize the one, note your experience. a lot of dialogue with yourself, realize overthinking about de e, out of control, is not healthy. you ki suk yo pedot og :face_with_hand_over_mouth:",Positif,"Take it easy having a young boyfriend, koe will be fine, not getting married on two goals. enjoy the ena, realizing one, your experience notes. a lot of dialogue with yourself, realizing about de e, out of control, not healthy. You ki suk yo dot og:face_with_handover_mouth:"
"that's what makes quotes by roy marten, roy marten once said gt in mn y? dont be salty y h3h3",Netral,That's what Roy Martin was quoting. Roy Martin once said gt in mn y? Don't be salty.
"even have to be to the point, there is no code, far from romantic, wkwk",Negatif,"Even got to the point, no code, away from the romantic, wkwk"
"o ****, why is the original stardust child cute :loudly_crying_face: so i regret it, i see them, even though they are curious, but their original faces are apparently handsome, but regretted them, fr, but regretted, but regret it, ahh au ah confused :upside-down_face:",Negatif,"O****, why real stardust children are funny: loud_cryface: so I regret, I see them, though they are curious, but their real faces seem handsome, but sorry they are, fr, but sorry, ahh au confused: upside-down_face:"
yaallah my bestie ket the era of teenagers puberty mene rabi :loudly_crying_face::loudly_crying_face:,Negatif,Well I'm bestie ket-era puberty call rabbi:loudly_crying_face::loudly_crying_face:
whyyy. ok i'd prefer tenorite,Netral,whyyyy. ok i prefer tenorite
even though it's just stunned but instead overthinking.,Negatif,"Even if it's just a shock, but it's a lot to think about."
til don't turn my vpn on and off while reinstalling to avoid corrupted downloads.,Netral,til don't turn my vpn on and off while reinstalling to avoid breaking download.
"there's a million voices screening that is a sin or whatever, but the voice that i hear is telling me just do what i want to",Positif,"There's a million sound screenings that are sin or whatever, but the voice I hear is telling me just do what I want to"
i cannot even see her.,Negatif,I can't even see it.
yaallah mas crush send pap,Positif,Yaallah mas crush send pap
pregnancy was the worst. i hate all the people. even my hubz haha.,Negatif,The pregnancy is the worst. I hate everyone. Even my hubz haha.
the name of the theges skill overthinking hzzz who will be the 'theges **** your overthinking' let's get heuheu,Negatif,name theges skill overthinking hzzz that will be 'theges **** you over thinkin' let's heuheu
cause honestly you turn out to be the best thing i never had:cloud_with_lightning_and_rain:,Positif,Your honesty turns out to be the best thing I've ever had: cloud_with_lightning_and_rain:
santuy,Netral,There.
want to go to malang healing :grinning_face_with_sweat:,Positif,want to go to poor healing:grinning_face_with sweat:
"i seldom open instagram in feeds part, except for scrolling instastory & amp; few of the people i put my interest with. but i can tell you instagram sulex has the world algorithm ever, too much ads-oriented feature, & amp; i know how it's hard to gain rich, genuine engagement.",Negatif,"i rarely open instagrams in the feed section, except for scrolling instary & amp; some people I put my interest in. but I can tell you instagram suxes have world algorithms ever, too many oriented features, & amps; I know how difficult it is to get rich, original engagement."
"teamwork ... i don't think that you can score as spectacular a goal as that of zlatan in a video game, even though these games are very realistic these days",Positif,"Teamwork... I don't think that you can print as spectacularly purpose as that zlanan in video games, although this game is very realistic today"
wong uipe santuy instead at ireni mbi next to :woman_dancing::woman_dancing::woman_dancing:,Negatif,wong uipe sytuy instead at ireni bl next to:woman_dancing:::
"in every ramadan, you always get an answer. and finally the ""single fighter"" aagaiinnn ... no overthinking, overprotec, overjelous and over anything (again). its time to speak ""im freee ...."" :partying_face::partying_face::partying_face::partying_face::partying_face:",Positif,"in every rhythm, you always get answers. and finally ""single fighter..."" no overthink, overprotec, overjelous and more than anything else. It's time to talk ""im freee ...."": party_face: party: party: party:"
"appreciate the person who is currently loved by you, trying to make you happy. before he leaves because of your mistakes, you have ""treated"" what he has given you. which is the special treatment for the special person.",Positif,"cherishing the person who is currently loved by you, trying to make you happy. Before he leaves because of your mistake, you've been ""treated"" what you've given him. That's a special treatment for a special person."
something i think that i don't even know what i want,Negatif,something that I think that I don't even know what I want
real revenge is not about getting savage when you've been betrayed. it's about getting over and becoming indifferent while move on.,Positif,"The real revenge isn't about being wild when you've been betrayed, it's about getting more and being indifferent while moving on."
ohiyaya forgot that this was late friday ... do you think satan is overthinking or not ?? :eyes::man_bowing_light_skin_tone:,Negatif,ohiya forget that this is late Friday... do you think the demon overthinking or not?: eye:: man_bowing_light_skin_tone:
tengok ni bestie,Netral,Look at this. Bestie.
"shout out to people who can, easy can thank you in any condition it is :love_letter:, nice attitude actual",Positif,"yelling at people who can, easily able to thank in any condition it's:love_letter:"
"astaghfirullah o allah :loudly_crying_face: i'm gedeg with indonesian entertainment !!! ??? that why i prefer entertainment outside, even though there are many scandals but really achievers. indo! ?? who really excels instead of the stage",Negatif,"fontcolor="" # FFFF00""astaghfirullah fontcolor="" # FFFF00""Ogod:loudly_crysing fontcolor="" # FFFF00""i'mgeg with English entertainment fontcolor="" # FFFF00""ah!!???that'swhyI prefer outside entertainment,even thoughthere'm alot of scandal but really reaching indo!???that is really superior to the stage"
where is the new year bestie?,Netral,Where's New Year's bestie?
all around me,Netral,All around me
astaghfirullah bestie.,Negatif,Astaghfirullah bestie.
2 more days mas crush birthday,Netral,2 days left to ruin the birthday
god's plan always ends in kindness. we just have to obey it. . . trust me .. . . t .... @ kepo really you become people,Positif,God's plan always ends well. We just have to obey it. Trust me.
same here .. i literally feel nothing to be happy about this year neither the next,Negatif,same here.. I really feel nothing to be happy this year is not next
"spider-man 3 is trending, so i'm like to drop this marvel's spiderman. it's 4th video out of (probably) 25 videos series. (should i go bigger or lesser than than 25?) spider -man 1.4 - 'this is special day!' link down :backhand_index_pointing_down_medium-light_skin_tone:",Netral,"Spider 3 is trending, so I want to bring down Spiderman this miracle. This is the 4th video of (maybe) 25 video series. (should I go bigger or smaller than 25?) Spiderman 1.4 - 'This is a special day!' link below:backhand_index_down_medidium-light_skin_tone:"
"the answer is to be resolved directly, decisively, straightforwardly and to the point on the subject matter, but it is resolved by arib and wise",Netral,"The answer is to be solved directly, firmly, frankly and to the point of this problem, but it's solved by abrib and discreet."
"life's not out to get you despite the things you've been so pick your self -up, you can't change what's been you must go on and learn while you live.",Positif,"life isn't to get you even though things you've so chosen yourself--up, you can't change what you've got to go and learn as long as you live."
man are they so corrupt than (with the power) they'd go so far to this just so they can prove their point :smiling_face_with_tear: we're so ****,Negatif,Humans. They're so corrupt from (with) power. They'll go so far into this just so they can prove their point:
"page 1 of 365: this night i really overthinking and can only reflect after last birthday and more mature. my mind right now ""what do i have to do next?. try harder, and pray so that everything is achieved in 2022.",Negatif,"page 1 out of 365: Tonight I really think too much and can only reflect after last year's birthday and more mature. My mind is now ""What should I do next?. try harder, and pray so that everything is accomplished in 2022."
"riding around the town, checking as many tower as possible to find a perregrine to no avail. can't believe this is going to be a perregrine-less year for me :upside-down_face:",Negatif,"Running around the city, checking as many towers as possible to find useless perregrine. can't believe this is going to be a year without perregrine for me: upside-downface:"
"like this if the weekends want to go home, it will definitely be jammed, the city people go to the peak want to be healing, i want to go to the peak want to return",Negatif,"It's like this if the weekend wants to go home, it's gonna jam, the city people going to the top want to get better, I want to go to the top want to go back"
when my crush says something funny,Netral,when my crush says something funny
cant even sleeeep,Negatif,Can't even sleeeep
"even though the love language is ok, even the same event, but it is cultural and family background which is different, so it's different. because love language is really too general",Negatif,"Although the language of love is ok, even the same event, but the cultural and family background are different, so it's different. Because the language of love is really too common"
thoughts quhh overthinking + negative thingking first .. there is a medicine or not,Negatif,over-thinking. + negative. first stop.. there's medicine or not.
healing,Netral,healing
"sf wd kim/kong vs chen/jia will be interesting, toa who is the most blaring :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing: already watching the match try using a headset, beehhh how come it isn't ... all around you ala cinema, yeah :face_with_tears_of_joy::face_with_tears_of_joy:",Positif,"sf wd kim/kong vs Chen/jia will be interesting, the most shocking toa: rolling_on_f_f floor_laughing::::::::rolling_on_freak_laughing: already trying to use headset, beehhh how it comes... all around you in theaters, yeah:face_with_ears_ofjoy:face_with_ears_ear_of_ear_of_light_joy:"
time and place (overthinking) we invite :see-no-evil_monkey::see-no-evil_monkey:,Negatif,time and place (more thinking) we invite:see-no-evil_monkey:: see-no-evil_monkey:
"not all can accept our statements, not all can't accept our statements. but from here we have to learn open minded, receive everything from a different perspective. and think broadly.",Positif,"Not all of us can accept our statements, not all of us can't accept our statements. But from here we have to learn to be open-minded, to accept things from a different perspective."
yak still santuy,Netral,It's still sacred.
my support system .. pabos who is willing to accompany the bons of the streets until the middle of night even though tired bin is sleepy ... :face_with_tears_of_joy: special @ zero jogjakarta malioboro,Positif,The pabos who were willing to accompany the bons for walks until midnight although tired of sleepy bins...:face_with_hears_of_joy: special @ zero joggingjakarta malioboro
"tonight feels sad, even though i don't think anything",Negatif,"I feel sad tonight, even though I don't think anything"
how to stop being overthinking?,Negatif,How do you stop thinking so much?
"this chart depicts a not-good situation all around the world, if many people can't afford their food then the next situation are riots, crime and rallys",Negatif,"This graph describes situations that are not good around the world, if a lot of people can't afford their food then the next situation is riots, crime and rally"
"really relate, already overthinking from now on, already calculated the total number that will enter the account on may 25.",Negatif,"Totally related, overthinking from now on, already counting the total amount that will go into the account by the 25th of May."
"current situation with twinnies, baby blues have subsided. kmrn2 pas burnout :breast-feeding_light_skin_tone: mas, you want to go to busan first or not :person_light_skin_tone: it's okay :breast-feeding_light_skin_tone: mama, i want to go to ln first, you can ga:woman_with_headscarf_light_skin_tone: heeh, take care of your child first. that's it ... :grinning_face_with_sweat::smiling_face_with_tear: wkwk",Negatif,"current situation with twinnies, baby blues have subsided."
so what kind of man should i believe? my father?? ah .. he had broken my heart first! :rolling_on_the_floor_laughing:,Negatif,So what kind of person should I trust? My father? ah.. he had broken my heart first!
place urang ot (overthinking n overtime) during the little time the campus **** was closed :loudly_crying_face:,Negatif,place (more thinking n overtime) during less time college **** closed:loudly_crying_face:
"why this people people kepo high level? goks, until brightness cellphone and laptop i am still ajeeee ...",Negatif,"Why are these people so high up? Goks, up to cell phones brightness and my laptop is still ajeee..."
"usually, also called open minded. wqwqwq :face_with_tears_of_joy::rolling_on_the_floor_laughing:",Netral,"usually, also called open-minded. wqqqq:face_with_hears_of_joy:: rolling_on_the_found_laughing:"
"really feel now in the phase i don't have the event time 2-3 hours to watch for a while for a while, my series doesn't finish 3 days. looks like my activities are not finished. when i was no life no job no love, i just did it? i should have fun with movies and books.",Negatif,"I really feel like right now in phase I don't have a 2-3 hour event time to watch for a while, my series doesn't complete three days."
"it's really easy to have stomach acid, lack of recovery, stress a little rest, especially overthinking also recurrent :)",Negatif,"It's really easy to have stomach acid, lack of recovery, a little stress break, especially overthinking also repeated:)"
"i just love how he care about me, even a little things matter, which is tired of work all day lsg ilang tired",Positif,"I just like how he cares about me, even the important little things, who are tired of working all day Isang tired"
want narcissistic for a moment,Netral,Want a narcissist for a moment
"overslept because tired is really good, because i immediately sleep without having to think about things that make us overthinking",Positif,"Exhausted because tired is really good, because I immediately go to sleep without having to think about things that make us think over."
ga sleep: overthinking :cross_mark: ga sleep: fear of darker/failed again :check_mark_button:,Negatif,ga sleep: overthinking:cross_mark: ga sleep: fear of darker/failed again: check_mark_button:
"something when i'm speaking indonesian and i don't know a word, i just use the dutch word with confidence. pretty good success ratio, better than even odds tbh.",Positif,"Something when I speak Indonesian and I don't know the word, I just use the word dutch with confidence. Pretty good success ratio, better than even odds."
"the staycation is enough at abang's house, and tomorrow morning the dawn prayer will go straight home ..",Netral,"just stay in the brother's house, and tomorrow morning the morning prayer will go straight home.."
probably going to be a reminder for me till i don't know when.,Netral,might be a reminder to me until I don't know when.
"page 365 of 365 for me & amp; also a ""great person out there we are great, thanks for sticking around this far, thank you for going through a lot of things even though not all of them are okay thanks you for loving yourself even though it's not completely. let's close the book",Positif,"page 365 of 365 for me &amp; also"" big guy out there we're great, thank you for sticking around so far, thank you for going through a lot though not all of them are fine thank you for loving yourself even though it's not fully."
still morning uda overthinking,Negatif,It's early morning uda overthinking
lol these people on twitter takes everything way overboard. jumping on my throat for something personally wish for. why so triggered when i'm not even stepping on anyone.,Negatif,lol people on twitter take everything the way to the sea. jump in my throat for something personal to want. why so triggered when I didn't even step on anyone.
congrats you won $ 100 :smiling_face_with_halo::smiling_face_with_halo::smiling_face_with_halo:,Positif,Congratulations on winning $ 100:smiling_face_with_hello:::smiling_face_with_hello::smiling_face_with_halo:
"if you could choose one of these iconic , which one do you prefer? ⁣ ⁣ :backhand_index_pointing_right:𝘐𝘯𝘧𝘰 𝘗𝘳𝘰𝘮𝘰 𝘏𝘶𝘣: eddie toyota. :mobile_phone_with_arrow: 088211567518 pt astra international tbk tso - auto2000 sudirman menara astra",Netral,"if you can choose one of these iconic, which do you prefer? &gt;backhand_index_pointing_right:"
"even in the most democratic country, there is still discrimination in law for lgbtq+ people. :pensive_face::pensive_face::pensive_face:",Negatif,"Even in the most democratic countries, there is still discrimination in the law for the rest of the people. :pensive_face::pensive_face:"
strolling around bks:raising_hands_light_skin_tone:,Netral,Walk around bks: gathering _light_color_hands:
"my weekend washing, changing sprai, motorbike washing car, shopeefood, sweeping, druming washing and in the afternoon healing to the beach club",Positif,"wash my weekends, change the splits, wash the motorcycle cars, shop food, sweep, drumming wash and in afternoon healing to the beach club"
"this bad is literally again very sensitive, easy to cry polllll",Negatif,It's bad. Literally again. Very sensitive.
yeah. me. literally. but im choose not to. please do the me.,Netral,yeah. me. literal. but I choose not to. please do it to me.
"this is myself, i sleep, thinking about the fate of the aa, as you can, please , this is my fate as soon as i am the aa just dream",Negatif,"It's me, I sleep, think about fate aa, as you can, please, this is my fate as soon as I aa only dream"
"sitting on the terrace, coffee, ngroko, muter playlist until it runs out. it's really healing",Positif,"Sitting on the porch, coffee, niggers, silent set lists to run out. It's really healing."
still desperate to raise kerjo in the era of healing onslaught with ayanggg !!!,Positif,Still desperate to raise the cerjo in an era of healing attacks with yanggg!!!!
"me, when my dad asks why i listen to korean songs, well dad ... you also listen to desp4cit0 even though you don't understand the language :smiling_face_with_sunglasses:",Netral,"I, when my father asked me why I listen to Korean songs, both dads... you also listen to desp4cit0 even though you don't understand language:"
& lt; & lt; & lt; & lt; if you want to get the mood swing and look for the victim to make your own or mellow .. monmaap yes mai circle ... it's like that child ..,Netral,& lt; &lt; &lt; lt; If you want to get on the swing of the mood and find a victim to make you yourself or mellaap ya mai girl... it's like that kid..
"honestly, pgn is married because you need a person for a story, you need a person to make a parent :(",Negatif,"Honestly, don't get married because you need someone for a story, you need someone to make a parent:"
"whatever you hear about me please believe it, i no longer have time to explain myself, you can also add some if you want:clinking_glasses::black_heart: @ jakarta, indonesia",Netral,"Whatever you hear about me please believe me, I don't have time to explain myself, you can also add some if you want:cling_glasses:: Black_heart: @ jakarta, idonesia"
"sometimes i like to imagine and want deep talk with someone who in my opinion is close but maybe according to him just ordinary, like just imagining already already make me feel better let alone a real incident",Positif,"Sometimes I want to imagine and want to talk deep with someone who in my opinion is close but maybe he just thinks it's ordinary, like just imagining already makes me feel better let alone the real incident"
"healing, lemes",Negatif,"healing, glue."
"bayangno pas kon new year an ambek your girlfriend moro in crush ambek izrail, ojok is delicious kon dos wedos",Negatif,"Bayanno pas con new year an ambek your lover moro in crush ambek izirail, ojok is deliciously con dos wedos"
very complicated life. reduce kepo with people's privacy yahh :expressionless_face:,Negatif,It's a very complicated life. Less kepo with people's privacy: expressionless_face:
"gave a hundred percent love but all i got from you, zero i thought you were the one, then you turn around",Negatif,"give a hundred percent love but all I get from you, zero I think you're one, then you turn around"
"well, man city even not made any shoot",Netral,"Well, the men's town didn't even make the shot."
toook a little while to get my stuff back yahah after borrowed with friends.,Negatif,Took a little time to get my stuff back after being borrowed with friends.
"tumbenan can't sleep until this hour, what do you know overthinking too",Negatif,"Tumbenan can't sleep until this hour, what do you know overthinks too"
"i'm so lazy next week to meet the bulek q because the last time you fight, heuuuuu she's just controlling what she wants to control even that not her businesses:tired_face:",Negatif,"I'm so lazy next week to meet the blank q because the last time you fought, he just controlled what he wanted to control even that wasn't his business: tired_face:"
"already know it's not clear it's still just kepo, the brain is the same as the heart is not synchronous.",Negatif,"Already know it's not obvious it's still just kepo, the brain is the same as the heart is not synchronous."
"thank you very much for being given the opportunity to ask a question sir, i am very happy to be able to ask and answer perfectly by hopefully mindblowen will be even better :smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_open_hands::partying_face::fire: /t.co/0nzwitrj1v",Positif,"Thank you very much for giving the opportunity to ask the question sir, I'm very happy to be able to ask and answer perfectly in the hope of mindblounching: smiling_with_heart-eyes:::::::: /t: /0zver1"
aquarius yg overthinking vs scorpio that is very bodo :rolling_on_the_floor_laughing:,Negatif,overthinking aquaarius vs. bodo:rolling_on_the_freak_laughing:
actually perfect pie crust recipe,Positif,It's actually the perfect pie recipe.
"i can't even find ""honurs"" in his wikipedia",Negatif,"I can't even find ""hors"" in his wikipedia."
"this is it, last day of 2021, last sunset of 2021, last cloudy day of 2021, last friday of 2021, thanks the year of 2021, good bye the year of 2021. enjoy the last day of 2021 world, see you around on the next year, see you on the other side, **** bless .. !!!",Positif,"Here it is, last day of 2021, last sunset of 2021, last cloudy day of 2021, last Friday of 2021, thank you in 2021, good-bye year 2021. Enjoy the last day of the world 2021, see you next year, see you on the other side, **** bless ..!!!"
special spot babyj ... :face_with_hand_over_mouth: @ harris kelapa gading,Netral,special spot babyj ...:face_with_hand_over_mouth:
overthinking bae dah as,Negatif,overthinking bae dah as
"clapping surely something cause droplets to happed. 7:37 am sat, february 27, 2021",Netral,"While clapping, something must have caused the flattened points. 7:37 was sitting, February 27, 2021"
"the moon is very bright tonight. but sometimes the one who sees it, his heart is not as bright as tonight. happy overthinking fun !!",Negatif,"The moon is bright tonight, but sometimes the people who see it, his heart isn't as bright as tonight. It's nice to think it's fun!!"
"when you've already told your friend that her crush is not a good person, but she keeps falling in love all over again and end up being hurt again.",Negatif,"When you already told your friend that her crush wasn't a good person, but she kept falling in love again and ended up getting hurt again."
"clingy really, i'm hungry",Negatif,"Sticky. Really, I'm hungry."
"screenshot the mediation app you use for your anxiety, i'm curious what is most used",Netral,"The screenshot of the mediation application you use for your anxiety, I want to know what's most used"
narcissistic really hahaha listen to already - ardhito pramono (cover) by karina trisha on,Netral,narcissists really haha listen already - ardhito pramono (cover) by carina trisha on
morning walk ... the brother and dede are very happy to be invited to walk. @ aston sentul lake resort & amp; conference center,Positif,Morning walks... brother and dede are very happy to be invited to walk.
"well, okay he's stranger vit .. maybe you must be healing your self, take a rest and get some happiness. okay, i will do that.",Positif,"Well, okay, he's a stranger, Vit, maybe you should heal yourself, get some rest and get some happiness."
"actually not just a principle, but how we let go",Netral,"It's not just principle, it's how we let go."
we've won doubles even before the season start :face_holding_back_tears:,Positif,we've won doubles even before the season start:
how do i get rid of overthinking and it's not clear :slightly_smiling_face:,Negatif,how do I get rid of overthinking and it's not clear:slightly_smiling_face:
especially before here again there is a problem of sm mas crush who is broken up with a bad,Negatif,Especially before here there's a problem with the crush that broke up badly.
bang fiersa just overwhelmed especially we who are overthinking every day are made!? !!?,Negatif,Bang fiersa is just overwhelmed especially we are overthinking every day made!!!!!!?!???
2021 still overthinking just huft,Negatif,2021 is still thinking too much.
"ga fomo's life tutorial, sis",Netral,"ga fomo's life tutorial, sis"
have you ever missed someone so much that even the thought of them made you burst into tears?,Negatif,Have you ever missed someone who even thinks they made you cry?
"""part of healing is to face the trauma you have endured.""",Netral,"""The part of healing is to deal with the trauma you're going through."""
"when you are asked, please help complete non -asn data collection, but you are not included in the criteria. so remember the era of scripts is asked, please edit the video of a friend's trial, if it is still upside down. it's a bit tingle, but it's bestie, but i will join",Negatif,"When you're asked, please help complete the non -asn data collection, but you're not included in the criteria. So remember the script era requested, please edit the video of your friend's experiment, if it's still upside down. It's a little tickled, but it's bestie, but I'll join you."
so exclusive people to know big secret people are not as exclusive ... honestly the burden knows .. :face_with_crossed-out_eyes:,Negatif,so that people are exclusive to knowing big secret people aren't exclusive... honest burdens know.: face with _creep-out-eye:
"people are getting here more and more like fomo, if there is a kpop concert. idk why ... so the more barbaric with the mouth and the atitudes, the more uncomfortable.",Negatif,"People are getting here more and more like the fomo, if there's a Kpop concert. idk why... so the more barbaric with the mouth and attudes, the more uncomfortable it gets."
"i am always advised by people who have been married for a long time, and not far away. the point is if you want to get married, don't rush. okay man till now i never think about getting married. i enjoy my **** life, even something its miserable and joy in the same time",Negatif,"i am always advised by people who have been married for a long time, and not far away. the point is if you want to get married, don't hurry. okay man till now i never thought about getting married. i enjoy my life ****, even something sad and joy at the same time"
mood swing iki ra understands grandma i'm busy po.,Negatif,The mood swings iki Ra understands grandma I'm busy po.
"bro u need to chill a lil bit more, there always be something that you can take in order to make you even better. be grateful.",Positif,"Bro u needs to cool off a little bit more, there's always something you can grab in order to make you better, thankful."
"for a long time beutt didn't watch semi thriller drama. right at the head of the title, so i download it. only in ep 8, aka my middle, i doubted what to continue. actually in my opinion a little bit horror, let alone involve anti -social psychiatric problems and so on",Negatif,"For a long time beutt didn't watch semi thriller drama, right in the title head, so I downloaded it. Just in ep 8, a.m., I doubted what to go on. Actually, in my opinion, a little horror, let alone an anti-social psychiatric issue and so on."
"various superior products and entertainment will enliven , 05-06/05/05/2022, at the alumni association of sma negeri 1 (mg) will hold a typical purworejo gift shopping tour, in an event titled product shopping (beduk) purworejo.",Netral,"A variety of superior products and entertainments will revive, 05-06/05/2022, in an alumni of the 1st State Association (mg) will hold a typical Purworejo gift shopping tour, in an event called purworejo product shopping (buk)."
"lempetie, breaking the fast is still an hour.",Negatif,"Trumpetie, breaking the fast is still an hour."
how do you overcome mood swing? gaenak really. so like to get angry,Negatif,How do you deal with the swing mood? Really?
for the future it will be more closed about whatever it is later,Netral,For the future. It'll be more private about whatever it is.
the best healing when ppkm is sleeping if you don't watch a movie,Positif,Best cure when pvkm is sleeping if you don't watch a movie
responsibility is not only about knowledge but also to provide a proper environment that we can leave as a legacy to the next generation. pipi point of life @ kaliuda gallery,Positif,The responsibility is not only about knowledge but also to provide the right environment that we can leave as an inheritance for the next generation.
"it's really true, don't go to something. today i am sorry for successfully knowing what the original fluxcup face is like :relieved_face:",Negatif,"That's really true, don't go to anything. Today I'm sorry for getting to know what a real fluxcup face looks like: relief_face:"
just sleep. tired of overthinking,Negatif,Just sleeping. Tired of overthinking.
honestly ??,Netral,Honestly?
jungle dreams which is your favorite photo? 1 or 2,Netral,A forest dream which is your favorite photo?
"it turned out to be true, many people were kepo but many people who like",Negatif,"It's true, a lot of people but a lot of people like it"
"finally, after years of inferiority, south jakarta can claim that they've matched whatever bali is throwing at them in the world of burgers. this is as good as they said, but it's not better than the jakel's finance",Positif,"Finally, after years of inferiority, the southern jakarta can claim that they have matched anything Bali throws at them in the burger world. This is as good as they say, but it's no better than jakel's financials"
"jkt people don't give up, it's jammed to dozens of hours from the peak, instead of healing, it's dizzy, uyuhan :woman_facepalming:",Negatif,"JKT people don't give up, it's jammed for decades from the peak, instead of healing, it's dizziness, uuhhan: woman_facepalming:"
"now i'm lazy to pick up the phone .. if the director who is a new phone call does not pick up :squinting_face_with_tongue: it's important, wa ... i'm still lazy to work .. so whatever",Negatif,"Now I'm lazy to pick up the phone.. if the new director doesn't pick up: squint_withtongue: it's important, wa... I'm still lazy to work.. so whatever"
"actually im cryin a loud when u asking me ""are u okay?"" the sadness is you never know it.",Negatif,"I actually cried so hard when you asked me ""Are you okay?"" sadness was that you never knew that."
"the best self healing is bendino nyekel duet, loss ita. ra enek seng ngelarohi.",Positif,"The best self-healing is bowing down to the duet, losing ita. Ra enek seng rili."
"wherever i am, eat food as good as any healing food, yes, the rice fields are wrapped using brown paper",Netral,"Wherever I am, eating food as well as healing food, yes, rice paddies are wrapped in brown paper."
"why is it so heavy, literally 3 years the plot twist isn't finished, really tired",Negatif,"why so heavy, literally 3 years plot The twist is not finished, really tired"
"after seeing keanu with erica deeptalk, oh my gosh, it turns out that the keanu is adult, really",Netral,"After seeing Keanu with erica deeptalk, oh my gosh, it turns out Keanu is an adult, really."
u give so much pain even on this last day i feel at my torst,Negatif,u give so much pain even on this last day i feel at my torst
"soon we'll be 30 years old, our songs have been sold we've traveled around the world and we're still roaming soon we'll be 30 years old once, i was 7 years old :upside-down_face:",Netral,"Soon we'll be 30 years old, our song has been sold we've traveled the world and we're still wandering soon we'll be 30 years old once, my 7 years: upside-downface:"
"of all the overthinking that you think of whether it's about work, choices or life. the worst scenario is only in your own mind, right? and of all that you are doing, all happens? because when we overthingking, we are busy creating negative scenarios.",Netral,"Of all the thoughts you think about whether it's about work, choice or life. Worst scenario just in your own mind, right? and out of everything you do, all happens? because when we're overthinging, we're busy making negative scenarios."
anjg there are narcissistic officials bangsad wkwkwkwkkw,Negatif,There's a narcissistic official nationally wkwkwkkwkkw
"tips so that you don't get stressed? this body weight has lost a lot because of ""overthinking muluu :loudly_crying_face::pleading_face:",Negatif,"tips so you don't get stressed out? This weight has lost a lot because ""thinks muluu:loud_cry_face:"
and nothing lasts foreverfor all good days it's truei'd rather tred it all somehow saving youit must have been the seasonthat've threw us out of lineonce i stood so tallnow i'm searching for a signvictim by avenged sevenfoldtts. /66ch7ngqyr,Netral,and nothing lasts forever for all the good days it really prefers the tred it's somehow saving you it must have been season that had thrown us out of the line once I stood so high now I'm looking for a signature by replying to seven folds. /66ch7qyr.
someone likes to high school other people's lives ask what? :thinking_face: ..,Netral,Someone likes someone else's life in high school. Ask what?
