tweet,label,backtranslated_tweet
"aku ga suuka y sama kalimat yauda terserah kamu?!?!?!?? memberitahu saya apa yang harus dilakukan pria, bahkan saya tidak melakukannya tetapi saya suka bagaimana suaranya",Negatif,"Isuuka y kata yauda terserah kamu?!!!!????????????????????????????????? katakan apa yang harus dilakukan orang, bahkan aku tidak melakukan tapi aku suka bagaimana dia terdengar"
"ku ingin tidur, pliss jangan yang terlalu banyak berpikir atau mimpi buruk lagi: (((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((,",Negatif,"Aku ingin tidur, tolong. jangan berpikir terlalu banyak atau mimpi buruk lagi."
"h-2 libur lebaran, bisa pulu gasik. mode penyembuhan pada: netfix an sampe adzan maghrib. makasih indihome sekarang akuus bisa puas netfix an di rumah, tagihan jadi satu per bulan. anti ribet dah pokoknya.",Positif,"h-2 lebar liburan, dapat gasic. mode penyembuhan di: netfix sebuah sampai adzan maghrib."
"banget gue memang yang melekat, gampang kangenan. gue ga yg kangen bt gitu sih, kangen jg yg yaudah ngerti dia lagi ngapain. kangen yg cuma kangen doang dan bisa nunggu lalu kalo orgnya nongol gue tinggal ""huaaa kangennn !!!"" gitu.",Netral,"aku begitu terjebak, aku sangat merindukannya aku sangat merindukannya aku sangat merindukannya sampai dia tahu apa yang dia lakukan aku merindukannya yang hanya merindukannya dan bisa menunggu dan kemudian dia tidak."
"nemenin orang healing .. sabarnya dapet, sakitnya dapet banget:relieved_face:",Negatif,".. Menyembuhkan orang.. pasien mendapat, rasa sakit akan sangat: relieved_face:"
"bergumam, bersenandung, dan ngeworship tiba2 apalagi pas sepi sarik nangis adalah penyembuhan yang sangat mendalam dan pertemuan yg luar biasa bgt ke tuhan.",Positif,"Menggerutu, bersenandung, dan perkumpulan tiba-tiba, terutama ketika menangis diam adalah penyembuhan yang sangat mendalam dan pertemuan luar biasa dengan Tuhan."
persetan dengan orang -orang dan orang -orang yang tidak berbau seperti trump tidak pernah melupakan apa yang dia lakukan dengan amerika dan di seluruh dunia memilih amerika yang lebih baik memilih demokratis sepanjang jalan,Negatif,Persetan dengan orang-orang dan orang-orang yang tidak berbau seperti terompet tidak pernah lupa apa yang dia lakukan dengan Amerika dan seluruh dunia memilih suara Amerika yang lebih baik untuk demokrasi di sepanjang jalan.
kemanapun kamu pergi apapun yang anda lakukan saya akan di sini menunggu untuk anda apa pun yang diperlukan atau bagaimana hatiku hancur saya akan di sini menunggu untuk anda,Positif,Kemanapun kau pergi aku akan menunggumu di sini tidak peduli apa yang diperlukan atau bagaimana hatiku hancur aku akan berada di sini menunggumu
lagu tema gulat favorit saya (utas) sejauh ini tema terbaik yang pernah saya dengar lagu temanya saat ini tidak buruk mengingat dia berasal dari skotlandia sehingga mereka memberikan sentuhan skotlandia di atasnya. tapi saya lebih suka yang ini. tanpa keraguan.,Positif,Lagu tema gulat favorit saya sejauh ini adalah tema terbaik yang pernah saya dengar lagu tema hari ini tidak buruk mengingat dia dari Skotlandia sehingga mereka meletakkan sentuhan Skotlandia di atasnya.
"ada yang baru nih di saluran youtube uciesucita penasaran kan cuss kepo, dalam video selengkapnya yahh di youtube @ mallibdut/mymusicords @ mallabdut .ciersmalang @ mallabdut .",Netral,"Youtube uciesucita ingin tahu tentang menyumpahi kepo, dalam sebuah video lengkap di YouTube @ mallibdut/my musicsors @ mallabdut.ciersmalang @ mallabdut."
berikan apapun yang tersisa untuk saya berikan,Netral,Beri aku apa pun yang tersisa dari itu.
"kisah pagi ini dan satu pesan, lakukan apa pun yang membuat kita bahagia tanpa melukai orang lain dan melakukannya dengan cara yang baik dan benar. #..... @ lamongan",Positif,"Cerita pagi ini dan satu pesan, melakukan apa pun yang membuat kita bahagia tanpa menyakiti orang lain dan melakukannya dengan cara yang baik dan benar."
"saya: bersiap untuk berkumpul. semoga kita semua bersenang -senang, dikelilingi oleh orang -orang baik dan diberkati dalam setiap langkah yang kita ambil. anda: menatap foto saya saat saya bertelanjang dada. berbagi itu peduli ~",Positif,"Aku: bersiaplah untuk berkumpul semoga kita semua bersenang-senang, dikelilingi oleh orang-orang yang baik dan diberkati dalam setiap langkah yang kita tempuh kau: menatap fotoku ketika aku bertelanjang dada."
biasananya aku ga terlalu tertarik dan ga terlalu suka nonton serial karena lama dan banyak kan episodenya. tapi pas coba nonton di seru banget ternyata! malah kepo banget sama episode selanjutnya. nonton deh guys!,Positif,"Saya biasanya tidak terlalu bersemangat dan saya tidak suka menonton seri karena itu sudah tua dan ada banyak episode, tapi ketika saya mencoba untuk menonton di menyenangkan, itu seperti aku menonton episode berikutnya."
bener kan ... kalo cewek udah kepo sampe ke akar-akarnya info itu akan dapat :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,Positif,Benar... ketika gadis itu sampai ke akar-akarnya itu akan mendapatkan: face_tears_ofjoy:
"jgn pernah ada pulsa hey, biar sampeee gw bosen buat berusia cari cara gmn caranya ngehubungin lu. unek2 gw bakal gw tuangin disini dan dibuku, dan selamat datang. ga ada yg kepo sm twitter gw",Negatif,"Hei, biarkan aku lelah mencari cara untuk menghubungkanmu."
"mau narsis tapi disini aja simpenna. makasih yg udh ngga tidur seharian. ngabisin rokok 3 bumkus, mineral udara 1 liter 3 botol, sama kopi 3 gelas buang edit proyek ini. untung masih hidup:black_heart::black_heart::black_heart:",Positif,"Aku ingin menjadi narsisis, tapi di sinilah aku, terima kasih karena tidak tidur sepanjang hari."
"udah ga ngerti alur hidup mau kemana, dulu panya perencanaan tapi skrg kaya ikutin aja alurnya capek bestie.",Negatif,"Aku tidak tahu kemana aku akan pergi dengan ini, tapi aku lelah dengan sahabat."
secara harfiah maen seharian sama ini. laporan ke bestienya .. gmn malam minggumu?,Netral,main secara harfiah hari ini laporan ke bestie..mn Sabtu malam?
lepaska semua penat dan rasa lelah kamu gangan staycation yang nyaman dan menyenangkan. tentikan tajuuan kamu sekarang ya:smiling_face_with_smiling_eyes:,Netral,Lepaskan semua liburan nyaman dan menyenangkan Anda. Referensi Anda saat ini: smiling_face_with_smiling_eyes:
denggerin dunia tipu tipu oleh kak yura yuniverse kesekian kalinya buat gw miris karena ga panya seseorang untuk mempercayai hubungan yang mendalam itu. namun gw cuman punya diri sendiri untuk segala rasa yg terjadi. berurusan dengan kecemasan dan disakiti barat gw susah banget percaya sama orang lain,Negatif,Dengan dunia penipuan oleh yura yunoverse saudara satu juta kali bagi saya karena tidak ada satu untuk percaya dalam hubungan yang mendalam tapi aku hanya memiliki diriku untuk segala sesuatu yang terjadi berurusan dengan kecemasan dan sakit barat.
udah 4-0 tetap sabarrr bestie,Positif,"Ini 4-0, tetaplah bersabar."
saya bahkan lupa siapa saya. :disappointed_face:,Negatif,Aku bahkan lupa siapa aku.
selamat bday ya katakan .. semua yang terbaik 4 kamu .. :partying_face::birthday_cake: thx u 4 tonite. format :growing_heart: @ come-xia,Positif,Happy bday ya say.. all your best 4..: partying_face:: Birthday_cake: thx u 4 tonite. format: growing_heart: @ come-xia
"aaaa dari jumat lalu hingga minggu sekarang saya masih sibuk dengan tugas kuliah saya:loudly_crying_face:. dan bahkan tahun baru tampaknya dipenuhi dengan kegiatan yang melakukan tugas perguruan tinggi, dan minggu depan sepertinya aku masih sibuk mengejakan tugas. aaaa aku banyak tertingal tentang :loudly_crying_face:",Negatif,Aaaa dari Jumat lalu sampai Minggu Aku masih sibuk dengan tugas kuliah saya:
lihat ya sekitar,Netral,See ya around
kenapeee siiii pada salty amat sama start-up wakakakakak,Negatif,kapeeesiii si cantik sangat mulai-up kakak
segera hadir!! :star-struck:,Netral,Coming right up! [Sergey Brin]:
penyembuhan tengah malam,Netral,Tengah malam penyembuhan.
"aca: satu-satunya teman yang kenal luar dalam, sebaik-baiknya dan seburuk-buruknya aku, dan terima apa pun yang akan saya lakukan.",Positif,"Aca: satu-satunya teman saya tahu adalah luar dalam, terbaik dan terburuk dari semua saya, dan menerima apa pun yang saya akan lakukan."
anda berdua benar -benar memberi makan kami,Netral,Kalian berdua benar-benar memberi kami makan.
"jadi, lu kepo .. !!",Negatif,"Jadi, kau a...!"
si denial yg selalu mengedepankan jengsi daripada isi hati :see-no-evil_monkey::speak-no-evil_monkey:,Negatif,penyangkalan yang selalu meneruskan tepi hati: see-no-evil_monkey:::: speaking-no-evil_monkey:
"dari semua kata kekinian mengsedih, bebcu, memperbaiki tanpa debat, no play play dsb, aku plg ga gelik mau gilak dengar ""jujurly"" tolongla yau..cannot tahan!",Negatif,"Dari semua sedih, kata-kata konyol, memperbaiki tanpa perdebatan, tidak ada bermain dll, saya tidak ingin digelitik. dengarkan ""jujur"" silahkanla yau..tidak bisa terus!"
ngajak org tua staycation krn selama ini di rmh aja ngurus 4 keponakan gw yg lg bandel2nya. happy lohat muka mereka happy bgt: d,Positif,Ambil orang tua untuk tinggal karena mereka sudah berada di rumah selama empat keponakan saya.
kepo di saluran youtube kami he gaezzz ... banyak konten seru ... lucu dan inspiratif disini ... jangan lupa berlangganan ya ...,Positif,kepoon kami kautube channelhe gaezzz... banyak sekali kandungan yang luar biasa... lucu dan inspirasial disini... don't forsubcrise ya...
"selamat memasuki bulan bulan healing, asmara kacau, masalah numpuk, sakit hati, dendam untuk 3 bulan kedepan ... bangsatt",Negatif,"Selamat datang di bulan penyembuhan, romansa, kekacauan, rumput, sakit hati, balas dendam selama tiga bulan berikutnya... bajingan."
aaaakh jarang2 bgt deep talk. sekalinya dalam bicara bikin perut risih2 asoy. tengs my forever boyfrienemy:pleading_face:,Positif,aakhf sering bicara dalam-dalam sekali dalam sekali dalam bicara putus-putus saja.
"fakta -fakta pahit tentang profesi hukum di luar sana, sudah ada di sana untuk sementara waktu tetapi saya mendapat serangan mental dari pengalaman itu.",Negatif,Fakta pahit tentang profesi hukum di luar sana telah ada untuk sementara waktu tapi aku telah mengalami serangan mental dari pengalaman.
jam pemikiran yang berlebihan,Negatif,Berjam-jam berpikir berlebihan.
gue talk bucnnya ngerti tpi kog malah tmbh ngeselin yaa ..,Negatif,"Aku bicara omong kosong, tapi kau mengejekku.."
"jam 08.00 telp tanya kabar, curhat crush nya diaajak jadian tapi masih anyi-heyi, yakin gayakin. wkwk run boy run ... !!!",Negatif,"Pada pukul 8 malam, aku bertanya apa yang dia lakukan, menceritakan perasaannya, tapi masih abi-heyi, yakin styak run boy lari...!"
lihat taehyung seperti itu membuat army terasa sangat panas bahkan dingin di luar :smiling_face_with_open_hands::smiling_face_with_heart-eyes::face_with_hand_over_mouth:,Positif,lihat sebuah tauyung seperti itu membuat tentara merasa sangat panas bahkan dingin di luar:smiling_face_with_open_hands::::smiling_face_with_heart-eyes::::face_with_hand_over_mouth:
bengi2 ngene terlalu banyak berpikir peda maneh peda maneh,Negatif,Aku sudah berpikir terlalu banyak tentang peda maneh peda maneh
jangan memaksakan apapun. apa yang terjadi terjadilah.,Netral,Jangan paksakan apapun.
berpikir berlebihan akan membunuh kita,Negatif,Berpikir berlebihan akan membunuh kita.
njember untuk sementara waktu ~,Netral,ng. untuk sementara waktu~
hai semuanya :waving_hand: entah bagaimana saya benar -benar ingin pergi ke konser bts :loudly_crying_face:aku ingin bertemu mereka sekali saja. semoga mereka yang ingin pergi ke sana dapat dicapai. ya? :purple_heart:,Positif,hai semua orang aku ingin bertemu mereka sekali saja. berharap mereka yang ingin pergi ke sana bisa dihubungi. huh?
yaallah beneran temen2 kkn ngiranya aku udh punya pacar njir ngakak padiahal crush aja ngga punya:loudly_crying_face::pinched_fingers_light_skin_tone:,Negatif,"Well, I don't really think I have a boyfriend who don't even have a crush:loudly_crying_face:::pinched_fingers_light_skirt_tone:"
yang selalu ada bakal kalah sama yang selalu kepo :),Netral,selalu akan kalah yang selalu akan kalah
promo staycation buat: asosiasi pmancing yang gabisa berenang,Netral,promo staycation make: pmanacing association that can't swim
"""suatu hari nanti malam kita mungkin akan berlalu terlalu benar. bahkan ketika gelap yang tak ada habisnya, aku tidak akan pernah takut lagi. mari kita pegang dengan erat dan aku akan berjalan di ujung gelap bersamamu."" ditulis oleh jo yuri, ya bias saya di sana: //t.co/mai2ficn0h",Positif,"""Suatu hari malam kita mungkin berjalan terlalu baik bahkan ketika kegelapan tak berujung, aku tidak akan pernah takut lagi mari kita pegang erat-erat dan aku akan berjalan di ujung gelap denganmu"" ditulis oleh jo yuri, ya bias saya ada /t.co/mai2fin0h"
"saya tidak berpikir siapa pun di euforia yang secara inheren buruk, sama dengan dalam kehidupan nyata. maksud saya, nates devil incarnate tetapi kami melihat mengapa. jika pada musim ini finale beberapa orang masih mempermalukan rue untuk proses pemulihan lama, anda benar-benar tidak mengerti.",Negatif,"Aku tidak berpikir siapa pun di euforia secara inheren buruk, sama seperti dalam kehidupan nyata. kau benar-benar tidak mengerti."
"mbak yg katananya berpikiran terbuka .... bikin podcast itu ya ga dilarang kok buat perempuan ,, silahkan ja",Negatif,"adik yang berpikiran terbuka... membuat podcast itu ya bukan untuk gadis-gadis, kumohon ja"
"enggaa, soalnya udah ada crush baruu :smiling_face_with_hearts:",Positif,"tidak, tidak ada crush baru:smiling_face_with_hearts:"
"barakallah fii umrik bestie leoku… sehat, bahagia selalu… sabar dan dikuatkan dlm segala hal… semoga usaha dan kesabaranyaa berbuah hasil yg manis nanti…",Positif,"Engravah fii umrik bestie leoku... sehat, bahagia selalu... sabar dan menguatkan dalam segala hal... mungkin usaha dan kesabaran menghasilkan buah manis..."
hilang untuk penyembuhan,Netral,Obatnya hilang untuk obatnya.
adalah yang ada dalam kategori buah atau kategori sayuran. tentunya sangat membantu untuk sehat saya akhir -akhir ini :thumbs_up::thumbs_up::thumbs_up:,Positif,dalam kategori buah atau kategori sayuran. itu pasti membantu saya sehat baru-baru ini:thumbs_up:::::thumbs_up::::thumbs_up:::thumbs_up::
cape bngt sih .. suka terlalu banyak berpikir suka nangis ga jelas suka trauma gangan perkataan,Negatif,sudah bosan susah susah kok para geng itu sudah bosan sekali&lt;/i&gt; &lt;i&gt;&lt;i&gt; &lt;i&gt;&lt;i&gt;&lt;/i&gt; &lt;i&gt;i&lt;/i&gt;&lt;/i&gt;&lt;/i&gt;&lt;/i&gt; &lt;i&gt;Aku tidak bisa tidur nyenyak&gt;&lt;/i&gt; &lt;i&gt;Aku tidak bisa.&lt;/i&gt; &lt;i&gt; &lt;i&gt;i&gt;Apa?&lt;/i&gt;
"pagi-pagi ada kabar gembira, ikut ngucapin jada boleh kan .. btw beli seragam sekolah ala ala murid korea itu di mana sih? di e-commerce ada ga? linknya **** ..",Netral,"pagi-pagi ada berita baru yang baik, datang kabar baik, ya ada kabar baik.. membeli sekolah-sekolah seperti gaya Korea di e-mmer di sana sana di sana...."
"pernah panya temen, pembawaanyaa diem, jarang ngomong kalo ga diaajak, entah bagaimana secara sosial canggung gitu lah. tp kalo ada sesuatu yg bikin kaget doi ngomongnya ""hah? sherina?"" :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:",Netral,"Sekali seorang teman, ia berkata diem, jarang berbicara jika dia, entah bagaimana sosial canggung. tetapi jika ada sesuatu yang mengejutkan dia doi mengatakan ""huh? sherning_on_the_freak_loughing::: rolling_on_loor_loughing:"
pov bahkan lebih baik itu gila,Netral,Bahkan lebih baik.
pengin ga yang terlalu banyak berpikir gimana caranya ya? :person_cartwheeling:,Negatif,"penin tidak berpikir terlalu banyak bagaimana?&lt;/font&gt; &lt;font color=""#ffff00""&gt;orang mobil:&lt;/font&gt; &lt;font color=""#ffff00""&gt;Apa yang kau lakukan?&lt;/font&gt; &lt;font color=""#ffff00""&gt;Apa yang kau lakukan?&lt;/font&gt; &lt;font color=""#ffff00""&gt;Apa yang kau lakukan?&lt;/font&gt; &lt;font color=""#ffff00""&gt;Apa yang kau lakukan?&lt;/font&gt; &lt;font color=""#ffff00""&gt;Apa yang kau lakukan?"
"tidak, saya seorang integrator sistem yang masih terkait dengan gelar sarjana ilmu komputer saya. tapi, bahkan anda sedang mengerjakan sesuatu yang tidak terkait dengan gelar anda, masih baik -baik saja. selama anda berkomitmen dan senang dengannya.",Positif,"Tidak, saya adalah seorang integrator sistem yang masih berhubungan dengan gelar sarjana komputer saya tapi, bahkan anda sedang mengerjakan sesuatu yang tidak berhubungan dengan gelar anda, tidak apa-apa selama anda berkomitmen dan bahagia dengan itu."
bentar ... keknya nama gw skrg jadi adventara yang terlalu memikirkan novasiliana :face_with_rolling_eyes:,Negatif,Tunggu... nama saya sekarang advokat yang berpikir terlalu banyak inovasi: face_with_rolling_eyes:
"1/ siapa yang suka permainan cumi? kami membuat permainan untuk anda. bagaimana ambil bagian? sederhananya, jika anda cukup beruntung untuk menerima ghcc ""tiket permainan cumi -cumi"" (di mana hanya akan ada 10 di seluruh koleksi). harga final adalah $ 10.000, yang akan dibagi di antara anda masing -masing $ 1.000. /t.co/pdtnfay0je",Netral,1/siapa yang suka permainan cumi-cumi? kita buat permainan untukmu. bagaimana kalau ambil bagian?
"cape banget, tenggat batas waktu kerjaan. enaknya penyembuhan kemana gitu 3 hari hmm",Negatif,"Sangat lelah, tenggat waktu bekerja, bagus untuk mendapatkan yang lebih baik tiga hari."
fakta bahwa saya dapat menatap mata senjata dan langsung tahu mana yang hitam dan mana yang putih adalah .. 💆:light_skin_tone:‍:clapping_hands_medium-light_skin_tone::clapping_hands_medium-light_skin_tone::clapping_hands_medium-light_skin_tone:,Positif,Fakta bahwa saya dapat melihat ke mata pistol dan segera tahu mana yang hitam dan mana yang putih adalah..: cahaya_kin_tone:: clapp_hands_medium-light_skin_tone::
"langangan yang terlalu banyak berpikir, yok bobo gasik yok.",Negatif,"Itu banyak untuk dipikirkan, yok yok gasic yok."
"padahal udah ngebayangin kasur empuk, menggulir media sosial, seri sama nonton yang ada di watchlist. eh, pertemuan malem-malem diajakin, penyembuhan kapan waktunya? :smiling_face::smiling_face:",Negatif,"Setelah membayangkan kasur lunak, media sosial bergulir, rangkaian yang sama menonton pada watchlist. eh, pertemuan malam-malem disebut, penyembuhan kapan?: smiling_face::: smiling_face:"
:expressionless_face::face_with_rolling_eyes: melenturkan,Negatif,:expressionless_face::face_with_rolling_eyes: flex
hanya mencoba untuk lowkey bahkan dalam situasi yang sulit :smiling_face_with_sunglasses:,Positif,hanya mencoba untuk lowkey bahkan dalam situasi sulit: smiling_face_with_serlasses:
"ibun kepo, ini perempuan² yg ka kena laki ² di twitter yg mrk gak kenal busal di dunia nyata. sebucin apa sih sampe mau terima ajakan panggilan video? gw bikin simpel, selemah apa lu idup hahh? katakan padaku. kok bs kejebak gt? jawab dm aja kita mikir apa lg bagikan nmr wa dan vc. komentar?",Negatif,"Bu, ini adalah wanita yang kau temui di twitter mereka tidak tahu tentang di dunia nyata bagaimana kita bisa menerima panggilan video?"
"""apa pun yang indah. apa pun yang bermakna. apa pun yang memberi anda kebahagiaan. semoga ini menjadi milik anda di musim liburan ini dan sepanjang tahun mendatang"" :party_popper:shishing anda bahagia berkat tahun baru 2022 :party_popper: 222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222",Positif,"""Apa pun yang indah Apapun yang berarti Apapun yang memberi Anda kebahagiaan."
menonton final hakim iblis. begitu banyak judas iscariot. ini sebenarnya pertunjukan yang sangat bagus! :star-struck::exploding_head:,Positif,Menonton final dari Hakim Iblis. begitu banyak iscariot judas. ini sebenarnya acara yang sangat bagus!:star-struct: Exploding_head:
krim panas bestie saya,Netral,My bestie hot cream
kok malah fomo anjeng awkwk,Negatif,ya fomoanjeng anehwkkk
"sp yangg love language nya word of affirmation, wkwkwkww:index_pointing_up_light_skin_tone::hushed_face::hushed_face:",Netral,"sp thatg love language his word of affair, wkwkww:index_pointing_light_skin_tone:::hushed_face:"
itu hanya ketika saya memejamkan mata saya melihat anda di sana & amp; itu melukaiku.,Negatif,Itu hanya ketika aku memejamkan mata bahwa aku melihatmu di sana. &amp; itu menyakitiku.
"mengapa anda kadang -kadang merasa seperti penolong meskipun anda hanya meminta bantuan dan percayalah, tidak peduli kesalahan apa yang dipikirkan orang tua tentang anak -anak, anda masih orang yang salah hahaha",Netral,Kenapa kau kadang merasa seperti pembantu? kau masih orang yang salah.
"ga tau di mana, tp kayanya sih gelora pancasila (munckin terkait even vaksin)",Netral,"Aku tidak tahu di mana, tapi terlihat seperti pancasila."
hyaaaaa jam-jam nya terlalu banyak berpikir,Negatif,Jam hyaaaaa-nya terlalu banyak untuk dipikirkan.
saya mengundang anda untuk bergabung dengan intellifluence sehingga anda dapat berkolaborasi dengan influencer dan mempromosikan produk atau layanan anda! daftar dan dapatkan diskon 50% dari bulan pertama anda dengan platform terbaik di sekitar! via,Netral,Saya mengundang Anda untuk bergabung dengan intelijen sehingga Anda dapat berkolaborasi dengan influenza dan mempromosikan produk atau jasa Anda!
bestie pagi ~,Netral,bestie pagi ~
bang spill sourcenya ****! malu dia!,Negatif,"""Dor"" akan tumpahkan sumbernya, ""mempermalukan dia""!"
heh crush aku pas smp udah nikah :loudly_crying_face:,Negatif,heh menghancurkan saya ketika saya menikah::: keras_cry_face:
malam tahun baru yang terlalu memikirkan boleh donk? :cat:,Negatif,Malam tahun baru yang terlalu memikirkan dirinya sendiri?
"terawasi zona buffer pengawasan, antigen rdt pelayanan gratis angkutan logistik dan validasi dokumen persyaratan perjalanan lintasi selat bali via asdp ketapang dan pelabuhan tanjung. titik cek terminal sritanjung",Netral,"mengawasi zona penyangga pengawasan, layanan gratis antigen rdt transportasi logistik dan dokumen validasi silang selat kembali melalui asdp ketapang dan ludah port. Titik pemeriksaan terminal srite"
pada pulkam kemana nih bestie?,Netral,"Kau mau kemana, bestie?"
staycation dimana yaa. .pengin bgt liburaan. .,Netral,tinggal di mana yaa.. ingin liburan..
staycation sama cewe-cewe tuh pasti ceriita masa lalu dan berakhir rindu:crying_face:,Positif,staycation with those girls must be cherryita of the past and end miss crying:
- sesi yang terlalu banyak berpikir -,Negatif,- Sesi ini berpikir terlalu banyak -
"bersantailah untuk sementara waktu dan dengarkan ; o) (@ masjid al - qomar cinanjung di kecamatan tanjungsari, jawa barat)",Netral,"santai untuk sementara dan mendengarkan atas; o) (@ masjid al - qomar cindalambs dalam buta huruf dari Capesari, rahang barat)"
"jujurly ketika liat konten yutub orng indo yang tinggal di luar negeri tu termasuk edukasi si, soalnya kan gak semua orng tau kehidupan disana tuh seperti apa. edukasi kan gak selalu ttg mtk, sains, bahasa, dll budaya, gaya hidup, makanan jaga termasuk edukasi",Positif,"Jujur, ketika Anda melihat isi yutub atau indo tinggal di luar negeri, itu termasuk pendidikan, karena Anda tidak tahu seperti apa hidup. pendidikan tidak selalu tentang mt, ilmu pengetahuan, bahasa, dll. budaya, gaya hidup, makanan."
bahkan tanpa menghadiri dan tidak ada promosi sama sekali :face_with_hand_over_mouth:,Positif,bahkan tanpa menghadiri dan tidak ada promosi sama sekali:face_with_hand_over_mouth:
"อะไร จะ เกิด มัน ก็ ต้อง เกิด /arai ja keid man gaw tawng keid/ apapun yang akan terjadi, akan terjadi.",Netral,"Tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak."
"ternyata seiring dengan saya yang lebih tua, cinta bukan sistem pendukung tetapi uang bercinta",Negatif,"Ternyata bahwa karena aku lebih tua, cinta bukan sistem pendukung tapi uang fucks."
"2020. mengajari saya segalanya tentang kesedihan, dari melakukan hal -hal baik untuk melakukan hal -hal buruk. tapi pada akhirnya itu bahagia mengakhiri semua orang. terakhir, tahun 2020 yang tidak membuat saya tinggal di rumah untuk sementara waktu :face_with_tears_of_joy:",Positif,"2020. mengajarkan saya segala sesuatu tentang kesedihan, dari melakukan hal-hal baik untuk melakukan hal-hal buruk tapi pada akhirnya itu akhir yang bahagia semua orang."
idiiih kepo benerrrr… rrrr,Negatif,"Idii dhih rightrrr... """
love you bestie :clinking_beer_mugs: @ malang,Positif,love you bestie: clinking_beer_mugs: @
label data entah bagaimana tidak perlu menyakiti mata saya. bruh lain kali siapa pun label data yang ingin anda snapshot,Negatif,Label data tidak perlu menyakiti mata saya entah bagaimana. Lain kali seseorang label data yang Anda ingin snap
disini sedang hujan. entah bagaimana merasa suram (?) saya harap semuanya baik -baik saja di luar sana,Positif,Hujan di luar sini. aku harap semuanya baik-baik saja di luar sana entah bagaimana.
"seru bngt nongkrong sendirian di gedung juang sarik liatin orang mudik, menyembuhkan karena liat muka2 pemudik yg ceria mau ketemu keluarga di kampung.",Positif,"Ini menyenangkan untuk bergaul sendirian di aula menonton orang sakit, penyembuhan karena melihat wajah siswa ceria yang ingin bertemu keluarga di desa."
minion warganet jerom adalah penolakan teh ini :relieved_face:,Negatif,jerom minionbet adalah penolakan teh ini:relieved_face:
"anda sedikit cerewet, terkadang sinar matahari yang berlebihan membuat anda sakit, anda ingin cukup cahaya dan udara. meskipun anda sangat cerewet tetapi semua mencari dan menginginkan anda.",Positif,"Kau sedikit rewel, kadang-kadang sinar matahari berlebihan membuat Anda sakit, Anda ingin cukup cahaya dan udara."
serem dah mainnya tumpahan:full_moon_face:,Negatif,Deseaseed spill: full_moon_face:
bismilaah yah 2022 be better bestie :red_heart:,Positif,bismilaah yah 2022 menjadi bestie yang lebih baik:red_heart:
"memang, tidak setiap detik atau menit pasti ada masalah baru di penthouse. menurut pendapat saya, saya paling setuju dengan seojin karena dia tidak hanya curang, dia bahkan membunuh ayahnya sendiri dan juga drama ini benar -benar direkomendasikan",Positif,"tidak, tidak setiap detik atau menit pasti ada masalah baru di penthouse menurutku, aku setuju denganmu karena dia tidak hanya curang, dia bahkan membunuh ayahnya sendiri dan drama itu benar-benar direkomendasikan"
winona ryder di alien 3 adalah crush pertama aku sebelum akhil baligh,Netral,Winona Ryder di alien 3 adalah cinta pertamaku sebelum bulgh akhil
"hari ini cuaca buruk, berkeliling, pilot agak rempong anj",Negatif,"Cuaca buruk hari ini, berkeliling, pilotnya sedikit seperti teropong."
"kadang orang berpikir merjadi pintar akademis n selalu jalur sutra adalah solusi semua masalah hidup, padahal enggak muga. bahkan lo punya semua kelebihan yang dunia tawarkan namanya masalah mah pasti",Positif,"Kadang-kadang orang berpikir menjadi seorang akademisi dan selalu garis sutra adalah solusi untuk semua masalah kehidupan, tetapi Anda tidak. bahkan Anda memiliki semua keuntungan yang ditawarkan dunia."
"naksir masa kecil gue :loudly_crying_face::loudly_crying_face::loudly_crying_face: happy wedding yank, semoga kamu bahagia selalu :growing_heart:",Positif,"Aku naksir pada diriku sendiri: keras_crying::: awan_cryface:::: awan_cry_face: bahagia yank pernikahan, mungkin Anda selalu bahagia:"
penyembuhan (?),Netral,penyembuhan (?)
mungkin tidak bisa mengatakan apa pun bcs saya begitu empuk :flushed_face::loudly_crying_face:,Negatif,may not be able to say anything bcs I am so soft:flushed_face::loudly_crying_face:
butuh healing ke warung mbah jo :face_with_hand_over_mouth::grinning_face:,Netral,perlu penyembuhan ke mbah jo warung:face_with_hand_over_mouth::grinning_face:
info..info suroboyo cak :man_raising_hand: spill donggg kalo ada:smiling_face_with_hearts::smiling_face_with_hearts:,Netral,info..info suroboyo cak :man_racing_hand: spill dongg if any:smiling_face_faces:::smiling_face_with_hearts:
"kalau main ke lot 9 satrio, kalau kamu beruntung akan ketumu sama si ""jagoan oyen"" yang muncul suka hati. ramah, tapi suka clingy kajy. namanya ""cemong""",Positif,"Jika kau beruntung kau akan bersama ""jago Oyen"" yang tampaknya menyukainya."
"staycation ( @ hotel mulia senayan - di jakarta pusat, dki jakarta)",Netral,"staycation @ a noble hotel - in central jakarta, dki jakarta)"
katananya healing:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,Netral,kata healing: face_with_ears_ofjoy:
